dataset,pooling_ratio,batch_size,lr,weight_decay,id,reward,num_layers,dropout_ratio,K
PROTEINS,0.8925648048622512,64,0.001,0,LSPVQ,0.7857142857142857,4,0.7061248698909425,2
PROTEINS,0.4418383634813777,64,0.001,0.001,KGVMQ,0.7857142857142857,5,0.1932000613910871,1
PROTEINS,0.5195656480309337,64,0.001,0.001,pTPcJ,0.7857142857142857,5,0.8393459894333033,1
PROTEINS,0.2787538856530968,64,0.001,0,cCLLK,0.75,3,0.0023131025303898436,3
PROTEINS,0.1634397307312246,64,0.001,0.001,UoWzj,0.8035714285714286,4,0.12224581346764474,4
PROTEINS,0.10015749383911042,64,0.001,0.001,aG7Qu,0.75,4,0.46924371185883196,2
PROTEINS,0.7730667461344904,64,0.001,0,HUQCL,0.7767857142857143,3,0.08534590638543736,1
PROTEINS,0.7679725750049315,64,0.001,0.001,Xfbr0,0.8035714285714286,4,0.33508625634695843,4
PROTEINS,0.3944420704969007,64,0.001,0.001,o43nB,0.8214285714285714,2,0.25536844996018404,3
PROTEINS,0.40641653099240194,64,0.001,0.001,y1iPS,0.7946428571428571,3,0.2793185548239707,2
PROTEINS,0.568833491893444,64,0.001,0,EoJGr,0.8392857142857143,2,0.06250033677160029,3
PROTEINS,0.245662919124638,64,0.001,0.001,IGbDH,0.7678571428571429,6,0.7974633853415616,4
PROTEINS,0.6945960748961227,64,0.001,0,mMzFt,0.8392857142857143,6,0.44659745649520816,2
PROTEINS,0.7313431874348022,64,0.001,0,bzxPd,0.8125,5,0.009567448943906477,4
PROTEINS,0.7440711186469302,64,0.001,0,A17AG,0.8214285714285714,6,0.061776789264290456,4
PROTEINS,0.36639011096427887,64,0.001,0.0001,T6vo1,0.7767857142857143,3,0.1182672766319061,3
PROTEINS,0.32374410126676134,64,0.001,0.001,rfU9h,0.7946428571428571,2,0.25913434853463946,2
PROTEINS,0.7980366075107185,64,0.001,0.0001,Mq69p,0.8125,3,0.3770171923277688,3
PROTEINS,0.44787628384291833,64,0.001,0.001,U5ukq,0.8125,2,0.45089026976127644,3
PROTEINS,0.7688904349572667,64,0.001,0.0001,phphQ,0.8392857142857143,2,0.45195085915372224,3
PROTEINS,0.21998831479289463,64,0.001,0.0001,aj78U,0.8303571428571429,3,0.6445960053066319,2
PROTEINS,0.46628916971238543,64,0.001,0.001,ghk5h,0.8303571428571429,6,0.5357471671588794,1
PROTEINS,0.2914579401185742,64,0.001,0.001,bJ2bZ,0.8035714285714286,3,0.6808540130220846,3
PROTEINS,0.23340882630359314,64,0.001,0.0001,Dc6pp,0.7142857142857143,4,0.3136837062406239,1
PROTEINS,0.6596655169107444,64,0.001,0,BXHU9,0.7857142857142857,2,0.6868392227804193,4
PROTEINS,0.8285078904704886,64,0.001,0,ZnSDj,0.8392857142857143,5,0.05662950586829174,2
PROTEINS,0.7879403577720779,64,0.001,0,MUgma,0.7857142857142857,5,0.413324586077568,1
PROTEINS,0.7035880153040277,64,0.001,0.0001,dgUVb,0.7767857142857143,2,0.4264561576733407,4
PROTEINS,0.11402361245464948,64,0.001,0.0001,LcA1w,0.8125,2,0.7712787257694209,1
PROTEINS,0.47960615575736976,64,0.001,0.001,JBGqi,0.7857142857142857,5,0.2621821922132552,3
PROTEINS,0.19749570373050007,64,0.001,0.0001,fdwZ8,0.8035714285714286,4,0.21654497848252097,1
PROTEINS,0.7627650262054576,64,0.001,0.001,gumgj,0.8214285714285714,4,0.5066220974812993,3
PROTEINS,0.4116315429877495,64,0.001,0.0001,Ea53B,0.75,2,0.21067022906535254,1
PROTEINS,0.6980275847082027,64,0.001,0.0001,WW5If,0.7857142857142857,4,0.08492401781687098,2
PROTEINS,0.6912013857939991,64,0.001,0.001,RzC2N,0.8035714285714286,2,0.4057576857174219,2
PROTEINS,0.5065813038581719,64,0.001,0.0001,CFlis,0.7857142857142857,4,0.07556381420007799,1
PROTEINS,0.18200999787657876,64,0.001,0,EF1TU,0.7767857142857143,2,0.12514037246730397,1
PROTEINS,0.2897765269048067,64,0.001,0.001,U4ftj,0.7857142857142857,2,0.8434100319236641,4
PROTEINS,0.3662125491049786,64,0.001,0,Whlt7,0.8303571428571429,2,0.02008734677299162,3
PROTEINS,0.4702267679133988,64,0.001,0,FG8kw,0.7946428571428571,4,0.37964712490740476,2
PROTEINS,0.13559697383651967,64,0.001,0,hXG3T,0.8125,3,0.21137238551961587,2
PROTEINS,0.5243226603047852,64,0.001,0,Yug7a,0.8125,3,0.2917943835627956,1
PROTEINS,0.7843705496574698,64,0.001,0.001,x2DT8,0.8303571428571429,6,0.3668558699063306,3
PROTEINS,0.15750337006163173,64,0.001,0,q5ujK,0.8125,4,0.3761685419112908,4
PROTEINS,0.7644796591033076,64,0.001,0.0001,bZqSy,0.7946428571428571,5,0.4052997295227742,2
PROTEINS,0.1699024033145408,64,0.001,0,HPrO4,0.7678571428571429,4,0.5512384834658632,1
PROTEINS,0.18133765965975704,64,0.001,0,f5TZ7,0.7678571428571429,4,0.6853096132341564,3
PROTEINS,0.5267614265754439,64,0.001,0.001,A2Cjj,0.7857142857142857,2,0.843351177183977,4
PROTEINS,0.7698134675021888,64,0.001,0.0001,ETwJA,0.8035714285714286,3,0.31602067537567124,4
