K,pooling_ratio,edge_ratio,reward,id,dataset,lr,dropout_ratio,num_layers,batch_size,weight_decay
2,0.2876614831684031,0.5525628405854277,0.7767857142857143,YtjDJ,PROTEINS,0.001,0.4161997799622291,6,64,0
3,0.8334319148602487,0.8525898151195077,0.7946428571428571,eAGYD,PROTEINS,0.001,0.3615273585118505,5,64,0
1,0.573100140535327,0.970352856296463,0.7678571428571429,x0TV3,PROTEINS,0.001,0.33670999498284954,2,64,0
2,0.27550231158865746,0.5156133519219007,0.8125,dkJ5G,PROTEINS,0.001,0.879147620328467,5,64,0.001
2,0.864852293408205,0.607574766967048,0.7857142857142857,rmEMr,PROTEINS,0.001,0.3745059339720778,4,64,0.001
1,0.6145884117900218,0.5384028375101757,0.8125,iAA9m,PROTEINS,0.001,0.18210524136503542,3,64,0.001
2,0.23200791834392698,0.8692551499604804,0.7946428571428571,KOKFB,PROTEINS,0.001,0.3666828438173426,2,64,0
1,0.751197174665362,0.6192400362439032,0.7946428571428571,Kkr7T,PROTEINS,0.001,0.43200505141330875,3,64,0
1,0.41647900159889295,0.5645511183126778,0.8303571428571429,FrTlV,PROTEINS,0.001,0.0031853472439436815,4,64,0
2,0.5265348484409741,0.7667390638012411,0.7321428571428571,Ut9t0,PROTEINS,0.001,0.2590010088283345,4,64,0.001
4,0.5847217358467519,0.8878044136159193,0.8303571428571429,icCku,PROTEINS,0.001,0.06323899491558203,3,64,0
3,0.7375019767423311,0.8536973530132457,0.8125,TwCLr,PROTEINS,0.001,0.8657785021419213,6,64,0.001
1,0.4623958959425546,0.5021445237744246,0.8125,Tv3Ze,PROTEINS,0.001,0.5881691760794157,4,64,0.0001
4,0.6539182659491944,0.5755545686338772,0.8125,cEadH,PROTEINS,0.001,0.5127490773958319,4,64,0.0001
2,0.7120939895379492,0.6286884976210038,0.8214285714285714,Sot9U,PROTEINS,0.001,0.26687841323943035,6,64,0.0001
3,0.7694520833994779,0.6332437527769353,0.8035714285714286,eRYLg,PROTEINS,0.001,0.4813242145656929,5,64,0.0001
1,0.8320402082474597,0.6200243757266892,0.8392857142857143,gVEgl,PROTEINS,0.001,0.8219494716913766,6,64,0
4,0.5991567582588326,0.5768549753648974,0.8392857142857143,AZjVb,PROTEINS,0.001,0.44573439519977875,4,64,0.0001
1,0.25729358908625893,0.7942632359518478,0.8214285714285714,FUjsn,PROTEINS,0.001,0.5458998697866927,3,64,0.0001
2,0.4221027716670931,0.6521872441651457,0.7767857142857143,I9RLG,PROTEINS,0.001,0.008103584572644318,2,64,0
3,0.5625716502879765,0.875516308557007,0.7767857142857143,jOwEe,PROTEINS,0.001,0.30821368742465977,3,64,0
2,0.899101361341069,0.9173788437062196,0.8303571428571429,PD4J4,PROTEINS,0.001,0.2501223680294698,5,64,0
4,0.27450130652562266,0.6260418738086984,0.8214285714285714,A2R8d,PROTEINS,0.001,0.36103825872649664,4,64,0
4,0.4990115565857193,0.5492738383313223,0.8303571428571429,bMzdX,PROTEINS,0.001,0.4579048434223514,5,64,0
1,0.4730128854392609,0.5543397748318841,0.7589285714285714,upj4G,PROTEINS,0.001,0.6897866095969875,2,64,0.001
4,0.5568067116759466,0.9729932674458713,0.8125,jSQiD,PROTEINS,0.001,0.09400054665054214,3,64,0
2,0.13010174841434738,0.9702741799700271,0.8035714285714286,rtHNS,PROTEINS,0.001,0.06003351609766751,4,64,0
4,0.5441119516044839,0.7903398987583635,0.8035714285714286,qKa5n,PROTEINS,0.001,0.2572035173631754,6,64,0.0001
1,0.7305190685847666,0.5076346253568251,0.8035714285714286,aH4dv,PROTEINS,0.001,0.4531994631657588,6,64,0.0001
2,0.8356922688166754,0.7172246568642586,0.8392857142857143,PN1L5,PROTEINS,0.001,0.35483405226864306,6,64,0
2,0.3055686397268993,0.5128986630342592,0.8125,i1Xml,PROTEINS,0.001,0.7846045861757556,2,64,0.001
4,0.3878343344144395,0.5780403610321179,0.7946428571428571,DfJby,PROTEINS,0.001,0.6137283494208287,2,64,0.001
3,0.1813217086319094,0.730860170779568,0.8125,J5d2i,PROTEINS,0.001,0.8983971921926844,5,64,0.001
2,0.8089360601215387,0.5726353431485509,0.8303571428571429,d063A,PROTEINS,0.001,0.4213657058434111,2,64,0.001
2,0.2432980646817554,0.9186566685609795,0.8035714285714286,PIYbN,PROTEINS,0.001,0.7443456705097427,6,64,0
4,0.4675192746367187,0.9439458732040502,0.8303571428571429,DBrUY,PROTEINS,0.001,0.8734039869121445,5,64,0
3,0.8880824065498167,0.5368424313593023,0.7857142857142857,D3cX0,PROTEINS,0.001,0.19915656546440677,3,64,0
2,0.6776415110022761,0.8945683182370909,0.8303571428571429,C4RIu,PROTEINS,0.001,0.12953237582400498,2,64,0.001
4,0.13980022024130997,0.8465788461936115,0.8125,tJkt2,PROTEINS,0.001,0.7355417394050449,4,64,0.0001
4,0.7445580125396041,0.8928781217514199,0.7857142857142857,ArRhG,PROTEINS,0.001,0.42566599172201935,2,64,0.001
4,0.269143454352075,0.98276920125613,0.8303571428571429,s2RTZ,PROTEINS,0.001,0.7505186770610855,6,64,0
2,0.44007134862574504,0.6114496723928207,0.8392857142857143,tJ7O8,PROTEINS,0.001,0.8651333572144607,6,64,0.001
2,0.4031322992282582,0.5651970719566703,0.8392857142857143,YGnFY,PROTEINS,0.001,0.4659185181323845,5,64,0
3,0.10054302087416503,0.8484167219937617,0.8214285714285714,LZjAi,PROTEINS,0.001,0.6778787582402374,2,64,0.0001
3,0.38449621080552443,0.8737685784487383,0.8392857142857143,PdkXO,PROTEINS,0.001,0.559893214094653,5,64,0
1,0.23864391822091396,0.8664294228383546,0.8303571428571429,LEhI4,PROTEINS,0.001,0.5242452072855496,4,64,0.0001
4,0.2768484918130312,0.9532975174171054,0.8303571428571429,foh7H,PROTEINS,0.001,0.30454926975228286,5,64,0.0001
1,0.6079253709605694,0.5755015137879336,0.8125,mT0wc,PROTEINS,0.001,0.20693190146324777,6,64,0
3,0.6778681383279225,0.7397705322183327,0.7946428571428571,iX7aB,PROTEINS,0.001,0.4473924319513613,3,64,0.0001
3,0.5430730070383178,0.6552092731015089,0.8303571428571429,S56CN,PROTEINS,0.001,0.34572336825618366,6,64,0.001
4,0.719628854901884,0.9525232911775932,0.8392857142857143,H6a0D,PROTEINS,0.001,0.689739890043723,3,64,0.0001
3,0.49502441801965724,0.6814333594550975,0.8571428571428571,wNtKL,PROTEINS,0.001,0.2874256643899084,4,64,0.001
4,0.41304007275409427,0.9732132816060995,0.8214285714285714,OiiNl,PROTEINS,0.001,0.5328479371992271,4,64,0.0001
2,0.5382490434992199,0.9905505322802547,0.7767857142857143,XjT7m,PROTEINS,0.001,0.3488487371219403,5,64,0
3,0.2586069638341545,0.6989930610550795,0.8125,MedOK,PROTEINS,0.001,0.5249557062241916,3,64,0
4,0.8270228310630275,0.8201489262620474,0.8303571428571429,B7y88,PROTEINS,0.001,0.3362409333007631,4,64,0.0001
2,0.8314037157967991,0.71708510669466,0.8392857142857143,m3qNT,PROTEINS,0.001,0.5579122097491851,6,64,0.0001
2,0.829162068283336,0.6953506629340922,0.7946428571428571,FBh37,PROTEINS,0.001,0.5420795633836081,5,64,0.0001
2,0.8172216824588207,0.7012752379296678,0.8035714285714286,lLXtN,PROTEINS,0.001,0.8864390060067422,6,64,0.0001
4,0.6471780615830138,0.7125499960610364,0.7767857142857143,l8hyg,PROTEINS,0.001,0.8954336611028213,6,64,0.0001
4,0.6548787367985739,0.7496545961633687,0.8125,abKV8,PROTEINS,0.001,0.22986059430657693,6,64,0.0001
4,0.4028955379580369,0.7238569859126255,0.8035714285714286,Shc1p,PROTEINS,0.001,0.8444959887323523,6,64,0.0001
4,0.38449985001371756,0.7358642396714276,0.7857142857142857,wHUzs,PROTEINS,0.001,0.8956340755002332,6,64,0.0001
4,0.34215810310846884,0.6988074213697301,0.8482142857142857,pQDhb,PROTEINS,0.001,0.56075700151517,6,64,0.0001
1,0.6312808889702618,0.7319457425459365,0.8303571428571429,wPnFY,PROTEINS,0.001,0.24345891814095758,6,64,0.0001
4,0.6468723044832022,0.7221213980089001,0.7767857142857143,e1GPa,PROTEINS,0.001,0.525428288467756,6,64,0.0001
2,0.6888951567325707,0.6909460793563766,0.8214285714285714,YBQLt,PROTEINS,0.001,0.19823639532081785,5,64,0.0001
2,0.6753093181120482,0.6879994841062661,0.7946428571428571,p4sBp,PROTEINS,0.001,0.18830322842882902,5,64,0.0001
2,0.6424193019734341,0.6872302078127863,0.8303571428571429,fC1Cl,PROTEINS,0.001,0.18427338685858724,5,64,0.0001
1,0.3685989406657344,0.6880357612472827,0.8214285714285714,SdCGe,PROTEINS,0.001,0.16788599848092234,4,64,0.0001
2,0.6383944969506963,0.735795696299327,0.7946428571428571,YvIgA,PROTEINS,0.001,0.19244355462184295,5,64,0.0001
4,0.6321414292581445,0.689355186822435,0.8125,YJIN7,PROTEINS,0.001,0.5828121654534072,3,64,0.0001
4,0.6135056881598808,0.7091882282021984,0.8214285714285714,JTzBg,PROTEINS,0.001,0.5916682355810525,3,64,0.0001
4,0.35439885967340223,0.6767586421957346,0.7946428571428571,RpiTT,PROTEINS,0.001,0.5727528738044055,6,64,0.0001
4,0.36713455671496187,0.7114847033532843,0.8303571428571429,eAlAN,PROTEINS,0.001,0.576449450433155,6,64,0.0001
4,0.6366256025287202,0.6951909417086651,0.8392857142857143,GIbjD,PROTEINS,0.001,0.5983159474390747,6,64,0.0001
4,0.3554848632781238,0.6900147588433985,0.8303571428571429,fYKOe,PROTEINS,0.001,0.5964675697800462,6,64,0.0001
4,0.336458800798479,0.6877752625256228,0.8303571428571429,H034L,PROTEINS,0.001,0.6066068277022065,5,64,0.0001
3,0.22220445252640655,0.990911759365296,0.8303571428571429,mRofF,PROTEINS,0.001,0.5923212793561272,3,64,0.0001
3,0.33423348526243174,0.992289751474812,0.8035714285714286,c6cyb,PROTEINS,0.001,0.5972905665950795,3,64,0.0001
4,0.33045094526822144,0.6796773864103505,0.8571428571428571,Xf8Jj,PROTEINS,0.001,0.7940058376381381,3,64,0.0001
3,0.35088744619047085,0.6830089660439501,0.8571428571428571,EacXs,PROTEINS,0.001,0.5998292183984473,6,64,0
