id,weight_decay,batch_size,reward,dataset,dropout_ratio,lr,edge_ratio,pooling_ratio,num_layers,K
orEKj,0,256,0.7342995169082126,NCI109,0,0.001,0.2738763173277235,0.2039835968883665,5,4
zD502,0,256,0.785024154589372,NCI109,0,0.001,0.26328752186818233,0.8293486454231659,3,3
IaIsE,0,256,0.7463768115942029,NCI109,0,0.001,0.6610691794826199,0.5763100451930526,5,2
zYE9S,0,256,0.6835748792270532,NCI109,0,0.001,0.2174384050172563,0.4264031170730067,3,1
fwZ5w,0,256,0.6352657004830918,NCI109,0,0.001,0.9226084493019693,0.35668821008939333,2,1
QAS1C,0,256,0.7415458937198067,NCI109,0,0.001,0.2272466318120948,0.44553001682849624,5,2
QBNbi,0,256,0.7777777777777778,NCI109,0,0.001,0.6637613936377833,0.7286151421522408,6,2
rHUI7,0,256,0.6642512077294686,NCI109,0,0.001,0.7398952782256325,0.7562679630585495,2,1
OUNC8,0,256,0.6159420289855072,NCI109,0,0.001,0.3876948020553739,0.45560492348808646,4,1
TEWgo,0,256,0.7222222222222222,NCI109,0,0.001,0.9206857261547332,0.15460640470799786,2,3
OsLwo,0,256,0.8019323671497585,NCI109,0,0.001,0.23420263724537788,0.6463120417937608,3,3
g9stW,0,256,0.7657004830917874,NCI109,0,0.001,0.528728292898091,0.7742450726701292,3,2
R6MRY,0,256,0.717391304347826,NCI109,0,0.001,0.5511378631952939,0.2055654796153138,3,3
NRfwp,0,256,0.678743961352657,NCI109,0,0.001,0.7477252756837378,0.10479135281055899,4,2
NoHCu,0,256,0.5821256038647343,NCI109,0,0.001,0.5155272243035328,0.10691046273869614,2,1
pErU5,0,256,0.6473429951690821,NCI109,0,0.001,0.7731860723883617,0.17995516505593115,3,1
T9ked,0,256,0.7801932367149759,NCI109,0,0.001,0.47048249709125206,0.5394203271447092,3,4
LOgKR,0,256,0.606280193236715,NCI109,0,0.001,0.3574512834555189,0.899426060991725,4,1
MdApN,0,256,0.7101449275362319,NCI109,0,0.001,0.47797550765164215,0.4205270512401307,5,3
j8Rjg,0,256,0.7681159420289855,NCI109,0,0.001,0.5984893325382563,0.825920995708496,4,2
MPuJP,0,256,0.7705314009661836,NCI109,0,0.001,0.37723298454686144,0.41290769835801544,3,2
YrvIg,0,256,0.644927536231884,NCI109,0,0.001,0.23891869189277382,0.7698110163811012,2,1
tiHMe,0,256,0.6231884057971014,NCI109,0,0.001,0.5890463052692299,0.5406181736650834,4,1
kc7vU,0,256,0.7608695652173914,NCI109,0,0.001,0.6487196402718369,0.5162682768344008,2,2
Vcfoo,0,256,0.7342995169082126,NCI109,0,0.001,0.6468983168640414,0.3371407104935205,6,4
i9nbk,0,256,0.7101449275362319,NCI109,0,0.001,0.517981305777123,0.35403463297966276,5,3
bITO6,0,256,0.6280193236714976,NCI109,0,0.001,0.30082021010592896,0.3223183262793886,6,1
yJDZF,0,256,0.6256038647342995,NCI109,0,0.001,0.394501057689182,0.7811427085369037,3,1
mk6Tf,0,256,0.7971014492753623,NCI109,0,0.001,0.23391908721799545,0.49340552725298037,6,3
KTRkQ,0,256,0.6932367149758454,NCI109,0,0.001,0.7256738290169436,0.11414038699287109,4,2
xF0Yb,0,256,0.7657004830917874,NCI109,0,0.001,0.702227268223439,0.7069348696678353,5,4
