lr,reward,pooling_ratio,dropout_ratio,dataset,num_layers,id,K,weight_decay,batch_size
0.001,0.7946428571428571,0.8741343553891732,0.385454000013134,PROTEINS,2,Sbxcc,2,0.001,256
0.001,0.8303571428571429,0.6745581369747413,0.020373042137641052,PROTEINS,4,xKyqM,2,0.001,256
0.001,0.8125,0.27505861169683943,0.2628729648216339,PROTEINS,2,jiFDD,2,0,64
0.001,0.7946428571428571,0.33850872203539284,0.2763446707422619,PROTEINS,5,GUhLr,2,0.0001,256
0.001,0.7767857142857143,0.3873919532500931,0.6596977708375334,PROTEINS,6,BVE3A,2,0.0001,32
0.001,0.8392857142857143,0.29489225419452525,0.22163091073443839,PROTEINS,3,CtVHp,2,0.0001,128
0.001,0.8035714285714286,0.7228784415363115,0.09733442358307588,PROTEINS,3,glJUM,3,0.0001,128
0.001,0.8035714285714286,0.7329230357995051,0.0966065000372434,PROTEINS,3,e9tGY,3,0.001,128
0.001,0.8303571428571429,0.12156357371462781,0.7486835298497264,PROTEINS,3,DDHOv,3,0.0001,128
0.001,0.8303571428571429,0.10123635207246018,0.16690025510070283,PROTEINS,3,fkUmR,2,0.001,64
0.001,0.8125,0.6169298621258632,0.31144662266821077,PROTEINS,4,wJiHU,3,0.0001,128
0.001,0.8125,0.6893289744620515,0.5000028352076215,PROTEINS,4,ZYxTn,2,1e-05,64
0.001,0.8125,0.788608935151694,0.4431011083853635,PROTEINS,4,q9VFC,2,0.0001,64
0.001,0.7857142857142857,0.4975743462294452,0.43150836357079364,PROTEINS,2,L1CVC,2,0,32
0.001,0.7589285714285714,0.8673179157759916,0.30931337204919374,PROTEINS,3,FOcAY,2,0.001,128
0.001,0.8125,0.6836785596959513,0.7254704892883201,PROTEINS,2,yZP3f,2,1e-05,32
0.001,0.7857142857142857,0.11446030090620117,0.6497994558765428,PROTEINS,6,GtQG8,4,0,128
0.001,0.7767857142857143,0.7434013337980806,0.4274913476867829,PROTEINS,2,hhQTA,3,0.001,128
0.001,0.8392857142857143,0.5080126306467635,0.15575286424064963,PROTEINS,2,QosxA,4,1e-05,128
0.001,0.7857142857142857,0.19321544200508065,0.32268936243756485,PROTEINS,2,kA8uL,2,1e-05,64
0.001,0.8125,0.1290152308993264,0.4374227553600764,PROTEINS,2,QDrtZ,3,0.0001,128
0.001,0.7767857142857143,0.6141922608577992,0.8258104199918583,PROTEINS,2,gunXK,2,0.001,256
0.001,0.7946428571428571,0.8932195474806534,0.6405535034846322,PROTEINS,2,trTxf,2,1e-05,64
0.001,0.8303571428571429,0.8380358549003545,0.549560721989514,PROTEINS,3,De1Pl,3,1e-05,128
0.001,0.8214285714285714,0.6193652357923457,0.48398173836061237,PROTEINS,3,Cd4ts,2,0,256
0.001,0.8035714285714286,0.4857847980265573,0.4663578377333851,PROTEINS,2,tKBPf,4,0,32
0.001,0.8035714285714286,0.2139206698119125,0.05760235612003143,PROTEINS,2,gaB5o,4,0.0001,128
0.001,0.7767857142857143,0.48677037455340766,0.5139949333240109,PROTEINS,5,yP8z9,2,1e-05,128
0.001,0.8214285714285714,0.22162386771808595,0.38612190158437354,PROTEINS,2,HBodI,4,0.0001,256
0.001,0.8035714285714286,0.805776555420388,0.07322341640506591,PROTEINS,3,OR8IA,4,0,32
0.001,0.7857142857142857,0.2230959846193737,0.14941028588873728,PROTEINS,3,KXfyo,3,1e-05,32
0.001,0.8303571428571429,0.11068438544506387,0.869636925128184,PROTEINS,6,qXY6I,3,0,128
0.001,0.8303571428571429,0.7108710828792918,0.2893775776070015,PROTEINS,3,MzkXi,3,0.001,32
0.001,0.8125,0.3540158261659595,0.2697601280562896,PROTEINS,3,rkJ14,2,0.001,64
0.001,0.7767857142857143,0.8220414893020359,0.37835845424394215,PROTEINS,3,leQXa,3,1e-05,32
0.001,0.8125,0.859175864352094,0.21702944262571763,PROTEINS,5,MQaTd,3,0,256
0.001,0.8035714285714286,0.8185471765418385,0.733028644270654,PROTEINS,3,e5w7a,3,0.001,128
0.001,0.8125,0.21321307618405996,0.07566232354946299,PROTEINS,5,zVjWn,2,1e-05,256
0.001,0.8303571428571429,0.4735444827614357,0.6441784449952778,PROTEINS,4,Mmj0N,3,0.001,256
0.001,0.7946428571428571,0.6250986241720756,0.8807074585943311,PROTEINS,3,AHddO,3,0.001,256
0.001,0.8125,0.38535844398173746,0.16001683370176126,PROTEINS,5,WTTCr,2,0.0001,32
0.001,0.7857142857142857,0.29177011791191976,0.639351697996534,PROTEINS,3,RIDoZ,3,0,128
0.001,0.8660714285714286,0.579646635720675,0.031022199374950144,PROTEINS,2,cDrHB,3,0,256
0.001,0.8125,0.7793271467501809,0.20054016141624562,PROTEINS,3,kI3CE,4,0.0001,64
0.001,0.8303571428571429,0.8152928290948842,0.7110857155985257,PROTEINS,6,KjJZ6,3,0,256
0.001,0.8303571428571429,0.8111810372058855,0.30953789456067893,PROTEINS,3,YYvfF,4,0.001,256
0.001,0.8125,0.6735844470229395,0.4565697968358426,PROTEINS,2,qmfJ2,2,0.001,128
0.001,0.7857142857142857,0.27417103422321076,0.21841961915495675,PROTEINS,3,P7EfK,2,0,128
0.001,0.8214285714285714,0.7738688797126584,0.07455887423325153,PROTEINS,4,Kl0Yh,3,0,64
0.001,0.7946428571428571,0.5885976296708629,0.7693593010291374,PROTEINS,3,TKHmS,4,0.001,64
0.001,0.8125,0.5382911937200767,0.7461642105899507,PROTEINS,3,LYA8F,3,0.0001,64
0.001,0.7857142857142857,0.19469608535948366,0.8099562922344726,PROTEINS,4,e30yN,2,0,32
0.001,0.8125,0.36371307797497276,0.43155522303746535,PROTEINS,2,Y2vi2,4,0.001,64
0.001,0.7767857142857143,0.6565720816894383,0.18668485596249607,PROTEINS,6,wr76H,2,0,256
0.001,0.8125,0.5294550414683132,0.4247501276682654,PROTEINS,3,nQye9,2,1e-05,128
0.001,0.7767857142857143,0.4656319267381218,0.09207591477976172,PROTEINS,2,hN1sF,3,0.0001,64
0.001,0.8214285714285714,0.17539773547755458,0.6594851728333595,PROTEINS,2,kpnob,3,0.0001,64
0.001,0.8482142857142857,0.21007020180864783,0.20837865537527378,PROTEINS,4,t0zwM,4,0,64
0.001,0.8035714285714286,0.4125948562767494,0.2792537536686834,PROTEINS,3,PQyMJ,4,1e-05,128
0.001,0.8125,0.4210574215719945,0.1549302484309824,PROTEINS,2,HUgbD,4,0,32
0.001,0.7767857142857143,0.4281473075036429,0.0013207663712244133,PROTEINS,2,Wxjww,4,0,32
0.001,0.8482142857142857,0.4387513091266463,0.3646258234697505,PROTEINS,2,pQldv,4,0,32
0.001,0.8125,0.5612381131401422,0.019624225158466846,PROTEINS,5,As3im,3,0,256
0.001,0.8125,0.5573040339397044,0.0020290027681362996,PROTEINS,5,GnxNx,3,0,256
0.001,0.8035714285714286,0.5547222544340317,0.006527127120367154,PROTEINS,5,zmOWA,3,0,256
0.001,0.8035714285714286,0.5567908482822741,0.001898015333674119,PROTEINS,5,kHhMW,3,0,256
0.001,0.8214285714285714,0.5671502713426696,0.004205342575090552,PROTEINS,5,fdPFw,3,0,256
0.001,0.8303571428571429,0.5367548566979699,0.013724206475270673,PROTEINS,5,AAnXu,3,0,256
0.001,0.7946428571428571,0.558755349510406,0.3630439044914452,PROTEINS,5,uH2Kd,3,0,256
0.001,0.8125,0.5494602965246808,0.012852068062535197,PROTEINS,5,Z65UG,3,0,256
0.001,0.8035714285714286,0.5505254100620179,0.3561442232036221,PROTEINS,5,k2Ih5,3,0,256
0.001,0.75,0.5447675269335053,0.3703302835119198,PROTEINS,5,alo66,3,0,256
0.001,0.7857142857142857,0.5601789557333328,0.006612473384992434,PROTEINS,5,UF7Dw,3,0,256
0.001,0.8125,0.536748226418777,0.0077691513482346895,PROTEINS,5,Pi0rM,3,0,256
0.001,0.8303571428571429,0.5271439947891069,0.0009607775883576086,PROTEINS,5,Jggju,3,0,256
0.001,0.7946428571428571,0.5723331410644034,0.00518706848192399,PROTEINS,5,pNGwv,3,0,256
0.001,0.7946428571428571,0.573955689232603,0.35025990130146084,PROTEINS,5,MaISr,3,0,256
0.001,0.7946428571428571,0.5619120038669856,0.0035137525378943664,PROTEINS,2,Mvv9e,4,1e-05,32
0.001,0.8214285714285714,0.5538606233821961,0.011258440379280307,PROTEINS,2,OtPQ0,4,1e-05,32
0.001,0.7946428571428571,0.5621380774149586,0.3740935159901934,PROTEINS,2,yvyMK,4,1e-05,32
0.001,0.7410714285714286,0.5736173300573677,0.0160633903674961,PROTEINS,2,DSpVa,4,1e-05,32
0.001,0.7678571428571429,0.5590538522796054,0.024222851693315728,PROTEINS,2,crUW1,4,1e-05,32
0.001,0.8392857142857143,0.5512650030888185,0.022944544966798222,PROTEINS,2,MP8Fd,4,1e-05,32
0.001,0.7410714285714286,0.5561872808628415,0.016300037066558054,PROTEINS,2,qf9wK,4,1e-05,32
0.001,0.8214285714285714,0.5347739855816764,0.012876504950293105,PROTEINS,2,Ip1KE,4,1e-05,32
0.001,0.8214285714285714,0.5316048417693156,0.13739355041909235,PROTEINS,2,kD90i,4,1e-05,256
0.001,0.8035714285714286,0.5726944693969399,0.007829546621811095,PROTEINS,2,JvJhW,2,0,256
0.001,0.7857142857142857,0.5661775199162621,0.01210100927294816,PROTEINS,5,dcMqW,2,0,256
0.001,0.8392857142857143,0.5606872810721334,0.001140696945866656,PROTEINS,2,yG38X,4,1e-05,256
0.001,0.8392857142857143,0.5712952960507974,0.000486175141431594,PROTEINS,2,yX0DL,4,1e-05,256
0.001,0.8392857142857143,0.5712412566165523,0.0003021272490595882,PROTEINS,2,aAotN,4,1e-05,256
0.001,0.8303571428571429,0.5790989801905457,0.026459105698233582,PROTEINS,2,G1y2P,4,1e-05,256
0.001,0.7678571428571429,0.439881863677884,0.04504420120112107,PROTEINS,2,rstRv,2,0,256
0.001,0.8125,0.5711518503477429,0.033091984199189795,PROTEINS,2,hANsG,2,0,256
0.001,0.7678571428571429,0.4436013725100326,0.3515380312957411,PROTEINS,5,XLcLm,2,0,256
0.001,0.8303571428571429,0.7158205376302963,0.3531270462836813,PROTEINS,4,ChE9I,4,0,256
0.001,0.8392857142857143,0.7137739664788636,0.12224118583532109,PROTEINS,4,vJcDB,4,0,256
0.001,0.8482142857142857,0.7154214259601415,0.12184211220343719,PROTEINS,4,dOApt,4,0,256
0.001,0.8392857142857143,0.7047267393993626,0.36586870547161554,PROTEINS,4,BmSqA,4,0,256
0.001,0.8303571428571429,0.6373745344405846,0.13171842272520107,PROTEINS,4,M9fMn,4,0,256
0.001,0.8214285714285714,0.7169793676720246,0.11422854670038335,PROTEINS,4,LJ0r3,4,1e-05,256
