dataset,batch_size,num_layers,id,K,pooling_ratio,weight_decay,dropout_ratio,lr,edge_ratio,reward
ENZYMES,256,4,Y51cJ,1,0.799915408,0,0,0.001,0.3844144589692673,0.65
ENZYMES,256,4,ka5Hg,1,0.799915408,0,0,0.001,0.46968636538251896,0.55
ENZYMES,256,4,uT7jZ,1,0.799915408,0,0,0.001,0.279497815862745,0.65
ENZYMES,256,4,ZH0Fe,1,0.799915408,0,0,0.001,0.4896168941302337,0.65
ENZYMES,256,4,CCUQg,1,0.799915408,0,0,0.001,0.35965882512598646,0.6166666666666667
ENZYMES,256,4,ibTbB,1,0.799915408,0,0,0.001,0.8907015431925942,0.6
ENZYMES,256,4,lFXeX,1,0.799915408,0,0,0.001,0.8469202925845573,0.6
ENZYMES,256,4,EPHgq,1,0.799915408,0,0,0.001,0.3690843387494348,0.65
ENZYMES,256,4,HR91G,1,0.799915408,0,0,0.001,0.7628556930930547,0.65
ENZYMES,256,4,jYjgs,1,0.799915408,0,0,0.001,0.951215562949904,0.6166666666666667
ENZYMES,256,4,BZSxS,1,0.799915408,0,0,0.001,0.39906678382522554,0.5833333333333334
ENZYMES,256,4,sLepn,1,0.799915408,0,0,0.001,0.8046181409560168,0.55
ENZYMES,256,4,jsTHL,1,0.799915408,0,0,0.001,0.9580555155021141,0.6666666666666666
ENZYMES,256,4,wBUk1,1,0.799915408,0,0,0.001,0.7077267321247623,0.6166666666666667
ENZYMES,256,4,XWHvc,1,0.799915408,0,0,0.001,0.18738406771119448,0.6333333333333333
ENZYMES,256,4,W5mvJ,1,0.799915408,0,0,0.001,0.48719514427877575,0.6666666666666666
ENZYMES,256,4,OOgr2,1,0.799915408,0,0,0.001,0.6260905821571249,0.6333333333333333
ENZYMES,256,4,fO0JS,1,0.799915408,0,0,0.001,0.9298542063251255,0.6333333333333333
ENZYMES,256,4,pJ8Kx,1,0.799915408,0,0,0.001,0.9473903036414998,0.6666666666666666
ENZYMES,256,4,x4FTi,1,0.799915408,0,0,0.001,0.27822265831621573,0.65
ENZYMES,256,4,HWujb,1,0.799915408,0,0,0.001,0.7018892938649688,0.6
ENZYMES,256,4,YTluF,1,0.799915408,0,0,0.001,0.9733947706671645,0.55
ENZYMES,256,4,hPp52,1,0.799915408,0,0,0.001,0.9156999491751803,0.7
ENZYMES,256,4,TL8Lo,1,0.799915408,0,0,0.001,0.28174987459313394,0.7
ENZYMES,256,4,CCXAb,1,0.799915408,0,0,0.001,0.6886238948366604,0.6166666666666667
ENZYMES,256,4,aFNzJ,1,0.799915408,0,0,0.001,0.7943012564271954,0.6166666666666667
ENZYMES,256,4,ygISI,1,0.799915408,0,0,0.001,0.24064955696613388,0.6833333333333333
ENZYMES,256,4,ByIVI,1,0.799915408,0,0,0.001,0.18858867508012095,0.5833333333333334
ENZYMES,256,4,nuHfr,1,0.799915408,0,0,0.001,0.6354345831813007,0.7
ENZYMES,256,4,cTWrg,1,0.799915408,0,0,0.001,0.24582827410660574,0.6
ENZYMES,256,4,yej6v,1,0.799915408,0,0,0.001,0.3156560852438829,0.6333333333333333
ENZYMES,256,4,yCBYJ,1,0.799915408,0,0,0.001,0.8299004934878864,0.6833333333333333
ENZYMES,256,4,nS7hD,1,0.799915408,0,0,0.001,0.23417630732870462,0.6666666666666666
ENZYMES,256,4,mAdNH,1,0.799915408,0,0,0.001,0.2655303990361959,0.6
ENZYMES,256,4,vQh4h,1,0.799915408,0,0,0.001,0.14970455135146726,0.65
ENZYMES,256,4,LfxFe,1,0.799915408,0,0,0.001,0.6700486410047778,0.6833333333333333
ENZYMES,256,4,fMMqF,1,0.799915408,0,0,0.001,0.41450009215149597,0.6666666666666666
ENZYMES,256,4,Lcx0g,1,0.799915408,0,0,0.001,0.6461071047592246,0.65
ENZYMES,256,4,qLQyk,1,0.799915408,0,0,0.001,0.9919586811492168,0.65
ENZYMES,256,4,j1FIN,1,0.799915408,0,0,0.001,0.9896260177931431,0.65
ENZYMES,256,4,flYtg,1,0.799915408,0,0,0.001,0.988747739230168,0.6333333333333333
ENZYMES,256,4,x0lit,1,0.799915408,0,0,0.001,0.9940950423270586,0.6666666666666666
ENZYMES,256,4,x1mK6,1,0.799915408,0,0,0.001,0.9733680177514611,0.6166666666666667
ENZYMES,256,4,VRQEz,1,0.799915408,0,0,0.001,0.9987475406221213,0.6166666666666667
ENZYMES,256,4,QWr0G,1,0.799915408,0,0,0.001,0.8527543272104823,0.65
ENZYMES,256,4,o2eJD,1,0.799915408,0,0,0.001,0.15731964292911377,0.5666666666666667
ENZYMES,256,4,Pnm39,1,0.799915408,0,0,0.001,0.10272766633313254,0.5666666666666667
ENZYMES,256,4,eSz3B,1,0.799915408,0,0,0.001,0.10669396019080776,0.6333333333333333
ENZYMES,256,4,dZmwT,1,0.799915408,0,0,0.001,0.1317946027070363,0.6666666666666666
ENZYMES,256,4,SRD2E,1,0.799915408,0,0,0.001,0.10648574080008913,0.65
ENZYMES,256,4,t2s1F,1,0.799915408,0,0,0.001,0.13381513642497608,0.6
ENZYMES,256,4,rZUAS,1,0.799915408,0,0,0.001,0.5541676128067483,0.6666666666666666
