id,edge_ratio,pooling_ratio,K,dataset,reward,batch_size,weight_decay,num_layers,lr,dropout_ratio
NKBpj,0.3709235305383545,0.632026586,3,NCI1,0.7639902676399026,256,0,5,0.001,0
Wp0Iw,0.5855918890198476,0.632026586,3,NCI1,0.7761557177615572,256,0,5,0.001,0
qtbav,0.4708108711906518,0.632026586,3,NCI1,0.7834549878345499,256,0,5,0.001,0
tQwjt,0.7669746173862235,0.632026586,3,NCI1,0.7956204379562044,256,0,5,0.001,0
hAAua,0.24781601306912066,0.632026586,3,NCI1,0.7688564476885644,256,0,5,0.001,0
fxfag,0.7967642545967742,0.632026586,3,NCI1,0.7688564476885644,256,0,5,0.001,0
thrBb,0.5411494551899504,0.632026586,3,NCI1,0.7883211678832117,256,0,5,0.001,0
iBRPW,0.7336291645896391,0.632026586,3,NCI1,0.7688564476885644,256,0,5,0.001,0
jTLod,0.185517460957541,0.632026586,3,NCI1,0.7420924574209246,256,0,5,0.001,0
SjtMB,0.18402187723848654,0.632026586,3,NCI1,0.7664233576642335,256,0,5,0.001,0
lX1xQ,0.29604865448628426,0.632026586,3,NCI1,0.781021897810219,256,0,5,0.001,0
PlfaV,0.945543676655027,0.632026586,3,NCI1,0.805352798053528,256,0,5,0.001,0
SHofz,0.5933415615274776,0.632026586,3,NCI1,0.7883211678832117,256,0,5,0.001,0
UzL00,0.5893096826621462,0.632026586,3,NCI1,0.7785888077858881,256,0,5,0.001,0
g7VQ6,0.49118809475965797,0.632026586,3,NCI1,0.7956204379562044,256,0,5,0.001,0
cYLOU,0.6025147585842348,0.632026586,3,NCI1,0.7858880778588808,256,0,5,0.001,0
wR2cM,0.5695717480790474,0.632026586,3,NCI1,0.781021897810219,256,0,5,0.001,0
qBUV8,0.9504989009135316,0.632026586,3,NCI1,0.7737226277372263,256,0,5,0.001,0
Qs9x3,0.7612802614527381,0.632026586,3,NCI1,0.7931873479318735,256,0,5,0.001,0
BWYPg,0.13180803971663185,0.632026586,3,NCI1,0.7737226277372263,256,0,5,0.001,0
Gtf4e,0.8309388705632575,0.632026586,3,NCI1,0.7785888077858881,256,0,5,0.001,0
zxP0N,0.24366294838040833,0.632026586,3,NCI1,0.7931873479318735,256,0,5,0.001,0
Z5sCR,0.782483315952328,0.632026586,3,NCI1,0.7688564476885644,256,0,5,0.001,0
ujCMQ,0.14007085796950697,0.632026586,3,NCI1,0.7566909975669099,256,0,5,0.001,0
vxkoH,0.7669350157643449,0.632026586,3,NCI1,0.7761557177615572,256,0,5,0.001,0
X6ttk,0.5417784748435899,0.632026586,3,NCI1,0.7688564476885644,256,0,5,0.001,0
OnUSe,0.9993704848766544,0.632026586,3,NCI1,0.7858880778588808,256,0,5,0.001,0
tDptl,0.7434596308646141,0.632026586,3,NCI1,0.7615571776155717,256,0,5,0.001,0
rAYNb,0.6869609116013997,0.632026586,3,NCI1,0.7858880778588808,256,0,5,0.001,0
gfGfn,0.29651892153436665,0.632026586,3,NCI1,0.7761557177615572,256,0,5,0.001,0
d22D7,0.6458745873340632,0.632026586,3,NCI1,0.7664233576642335,256,0,5,0.001,0
TFgtf,0.22038934549487424,0.632026586,3,NCI1,0.7834549878345499,256,0,5,0.001,0
fkzBm,0.8397422304084459,0.632026586,3,NCI1,0.7858880778588808,256,0,5,0.001,0
jJfv0,0.5522970277264504,0.632026586,3,NCI1,0.805352798053528,256,0,5,0.001,0
J9a7D,0.49915713020236463,0.632026586,3,NCI1,0.7883211678832117,256,0,5,0.001,0
sK1M1,0.3182533078691134,0.632026586,3,NCI1,0.7858880778588808,256,0,5,0.001,0
gCHEK,0.8939125179049369,0.632026586,3,NCI1,0.8102189781021898,256,0,5,0.001,0
dsnGV,0.8613562609324688,0.632026586,3,NCI1,0.7688564476885644,256,0,5,0.001,0
W4GkO,0.6698002975114644,0.632026586,3,NCI1,0.7761557177615572,256,0,5,0.001,0
X3wbq,0.9949212166643853,0.632026586,3,NCI1,0.7761557177615572,256,0,5,0.001,0
vtGqO,0.9577497226730561,0.632026586,3,NCI1,0.7639902676399026,256,0,5,0.001,0
VW9jk,0.9749446990328902,0.632026586,3,NCI1,0.7396593673965937,256,0,5,0.001,0
mjIQ0,0.9983614422226985,0.632026586,3,NCI1,0.7761557177615572,256,0,5,0.001,0
hnFcE,0.9777670219717722,0.632026586,3,NCI1,0.7615571776155717,256,0,5,0.001,0
iD3ct,0.984212368184659,0.632026586,3,NCI1,0.7493917274939172,256,0,5,0.001,0
Mpgsu,0.8714228804321262,0.632026586,3,NCI1,0.7737226277372263,256,0,5,0.001,0
FLXCv,0.889853922802016,0.632026586,3,NCI1,0.7688564476885644,256,0,5,0.001,0
NGJ2D,0.8888811506049811,0.632026586,3,NCI1,0.7834549878345499,256,0,5,0.001,0
NiGbj,0.8893820604670752,0.632026586,3,NCI1,0.7712895377128953,256,0,5,0.001,0
cMLki,0.8752895372786312,0.632026586,3,NCI1,0.7664233576642335,256,0,5,0.001,0
