weight_decay,pooling_ratio,dropout_ratio,batch_size,dataset,lr,edge_ratio,K,id,reward,num_layers
0,0.841586839,0,256,NCI109,0.001,0.8111682694747157,3,b5eEh,0.782608695652174,4
0,0.841586839,0,256,NCI109,0.001,0.5664432436156834,3,vys0G,0.8067632850241546,4
0,0.841586839,0,256,NCI109,0.001,0.4474567815607302,3,wl0SK,0.8115942028985508,4
0,0.841586839,0,256,NCI109,0.001,0.4572325138049095,3,aa5eJ,0.8164251207729468,4
0,0.841586839,0,256,NCI109,0.001,0.22341967875970803,3,n25UR,0.8115942028985508,4
0,0.841586839,0,256,NCI109,0.001,0.1296805649879961,3,wMfeu,0.8260869565217391,4
0,0.841586839,0,256,NCI109,0.001,0.13594976766814057,3,u046f,0.785024154589372,4
0,0.841586839,0,256,NCI109,0.001,0.9803176367859636,3,iYBcW,0.7898550724637681,4
0,0.841586839,0,256,NCI109,0.001,0.9866427144557122,3,KMhlU,0.7971014492753623,4
0,0.841586839,0,256,NCI109,0.001,0.47653980859705236,3,Zm1N5,0.8067632850241546,4
0,0.841586839,0,256,NCI109,0.001,0.2246002429093183,3,pGmet,0.785024154589372,4
0,0.841586839,0,256,NCI109,0.001,0.5970610371726572,3,pE1Pm,0.785024154589372,4
0,0.841586839,0,256,NCI109,0.001,0.567431842037154,3,Kv6ay,0.7729468599033816,4
0,0.841586839,0,256,NCI109,0.001,0.6576326926765366,3,UDeW2,0.7971014492753623,4
0,0.841586839,0,256,NCI109,0.001,0.4849256583911651,3,zImIk,0.7922705314009661,4
0,0.841586839,0,256,NCI109,0.001,0.7182172022424873,3,wSk3J,0.821256038647343,4
0,0.841586839,0,256,NCI109,0.001,0.39563997453281285,3,HlWxM,0.8019323671497585,4
0,0.841586839,0,256,NCI109,0.001,0.5076175273741095,3,H6kCF,0.7898550724637681,4
0,0.841586839,0,256,NCI109,0.001,0.7543200434996575,3,vSL3H,0.7681159420289855,4
0,0.841586839,0,256,NCI109,0.001,0.5011611348197922,3,tE93S,0.7729468599033816,4
0,0.841586839,0,256,NCI109,0.001,0.7611444663910918,3,PGJEF,0.782608695652174,4
0,0.841586839,0,256,NCI109,0.001,0.7508501063132607,3,DAztJ,0.8067632850241546,4
0,0.841586839,0,256,NCI109,0.001,0.3762294991777275,3,GAvBY,0.7801932367149759,4
0,0.841586839,0,256,NCI109,0.001,0.610764356288309,3,UNDwZ,0.785024154589372,4
0,0.841586839,0,256,NCI109,0.001,0.21534072933461113,3,K3eQe,0.8019323671497585,4
0,0.841586839,0,256,NCI109,0.001,0.9594573847059034,3,DTILq,0.8067632850241546,4
0,0.841586839,0,256,NCI109,0.001,0.9782530203118884,3,Kw9yU,0.7922705314009661,4
0,0.841586839,0,256,NCI109,0.001,0.7800856803800077,3,rMezU,0.7681159420289855,4
0,0.841586839,0,256,NCI109,0.001,0.3795783101233845,3,Kddaf,0.785024154589372,4
0,0.841586839,0,256,NCI109,0.001,0.5634809871513953,3,IDPsv,0.7995169082125604,4
0,0.841586839,0,256,NCI109,0.001,0.3600631982414896,3,Wy52X,0.785024154589372,4
0,0.841586839,0,256,NCI109,0.001,0.4301404283910433,3,Vt0AQ,0.7729468599033816,4
0,0.841586839,0,256,NCI109,0.001,0.8522881895977455,3,GSMg8,0.7946859903381642,4
0,0.841586839,0,256,NCI109,0.001,0.46541912447624,3,kA8Kh,0.7995169082125604,4
0,0.841586839,0,256,NCI109,0.001,0.874918184111033,3,pDBHU,0.821256038647343,4
0,0.841586839,0,256,NCI109,0.001,0.8520228722108149,3,ZYP1r,0.7971014492753623,4
0,0.841586839,0,256,NCI109,0.001,0.8770218077239793,3,YPuQS,0.8043478260869565,4
0,0.841586839,0,256,NCI109,0.001,0.9067221735450166,3,LUM5V,0.7608695652173914,4
0,0.841586839,0,256,NCI109,0.001,0.8540583769572024,3,rdrT1,0.8019323671497585,4
0,0.841586839,0,256,NCI109,0.001,0.6864803954724512,3,O4oLJ,0.7946859903381642,4
0,0.841586839,0,256,NCI109,0.001,0.6889372351149061,3,hEAG8,0.7801932367149759,4
0,0.841586839,0,256,NCI109,0.001,0.7239707070860198,3,OrRSW,0.7922705314009661,4
0,0.841586839,0,256,NCI109,0.001,0.6809567150652749,3,z7e7A,0.7898550724637681,4
0,0.841586839,0,256,NCI109,0.001,0.898967118250513,3,SPKOr,0.7898550724637681,4
0,0.841586839,0,256,NCI109,0.001,0.887462990694995,3,vQ9B4,0.7753623188405797,4
0,0.841586839,0,256,NCI109,0.001,0.12060728654314429,3,IfJmm,0.7681159420289855,4
0,0.841586839,0,256,NCI109,0.001,0.6548777899481419,3,RLyNh,0.7922705314009661,4
0,0.841586839,0,256,NCI109,0.001,0.2886898562554483,3,nnxVK,0.7946859903381642,4
0,0.841586839,0,256,NCI109,0.001,0.3148851020377122,3,Wmro6,0.8043478260869565,4
0,0.841586839,0,256,NCI109,0.001,0.6952040883436066,3,n8XsW,0.8140096618357487,4
0,0.841586839,0,256,NCI109,0.001,0.30203513049412734,3,VDlqE,0.7971014492753623,4
0,0.841586839,0,256,NCI109,0.001,0.30892901002530765,3,Um8c6,0.8019323671497585,4
0,0.841586839,0,256,NCI109,0.001,0.30109440214073957,3,ghSLd,0.785024154589372,4
0,0.841586839,0,256,NCI109,0.001,0.12261993705130725,3,pRrmp,0.7922705314009661,4
0,0.841586839,0,256,NCI109,0.001,0.3070913325187187,3,m9YIT,0.7971014492753623,4
0,0.841586839,0,256,NCI109,0.001,0.305288901938437,3,UNFrq,0.7874396135265701,4
0,0.841586839,0,256,NCI109,0.001,0.28583801337122805,3,Xjik7,0.785024154589372,4
0,0.841586839,0,256,NCI109,0.001,0.279804478174393,3,JLne5,0.8067632850241546,4
0,0.841586839,0,256,NCI109,0.001,0.253976444739251,3,S92b8,0.7705314009661836,4
0,0.841586839,0,256,NCI109,0.001,0.26307800923103447,3,BQW5I,0.7995169082125604,4
0,0.841586839,0,256,NCI109,0.001,0.33374626295547105,3,BT62h,0.8019323671497585,4
0,0.841586839,0,256,NCI109,0.001,0.1704035998125987,3,ZLjZp,0.8236714975845411,4
0,0.841586839,0,256,NCI109,0.001,0.3021806258695481,3,v4sos,0.7946859903381642,4
0,0.841586839,0,256,NCI109,0.001,0.5277558229722741,3,Lu0CI,0.7874396135265701,4
0,0.841586839,0,256,NCI109,0.001,0.16455974051752348,3,TWSBh,0.7729468599033816,4
