dataset,reward,K,pooling_ratio,id,seed,num_layers,N,edge_ratio
Mutagenicity,0.8413793103448276,2,0.426631657,lJJ7Y,777,2,1,0.845983
Mutagenicity,0.8367816091954023,2,0.426631657,ZHCOS,777,2,2,0.845983
Mutagenicity,0.8597701149425288,2,0.426631657,Fpdim,777,2,3,0.845983
Mutagenicity,0.8482758620689655,2,0.426631657,cvgGf,777,2,4,0.845983
Mutagenicity,0.8551724137931035,2,0.426631657,GjvdA,777,2,5,0.845983
Mutagenicity,0.8275862068965517,2,0.426631657,XRq9Z,777,2,6,0.845983
Mutagenicity,0.8298850574712644,2,0.426631657,a1kaj,777,2,7,0.845983
Mutagenicity,0.8482758620689655,2,0.426631657,gGPm1,777,2,8,0.845983
Mutagenicity,0.8390804597701149,2,0.426631657,ey0tG,777,2,9,0.845983
Mutagenicity,0.8413793103448276,2,0.426631657,uYbig,777,2,10,0.845983
