N,id,reward,dataset,num_layers,K,seed,pooling_ratio,edge_ratio
1,JXubX,0.7898550724637681,NCI109,4,3,777,0.841586839,0.129681
2,MSkTh,0.7946859903381642,NCI109,4,3,777,0.841586839,0.129681
3,DuPxy,0.7608695652173914,NCI109,4,3,777,0.841586839,0.129681
4,VGxf2,0.8091787439613527,NCI109,4,3,777,0.841586839,0.129681
5,BJesM,0.8043478260869565,NCI109,4,3,777,0.841586839,0.129681
6,i5PCZ,0.7681159420289855,NCI109,4,3,777,0.841586839,0.129681
7,licxR,0.7898550724637681,NCI109,4,3,777,0.841586839,0.129681
8,KeuDU,0.7898550724637681,NCI109,4,3,777,0.841586839,0.129681
9,iW7eH,0.782608695652174,NCI109,4,3,777,0.841586839,0.129681
10,lcQDn,0.7995169082125604,NCI109,4,3,777,0.841586839,0.129681
