dataset,pooling_ratio,num_layers,id,edge_ratio,seed,reward,N,K
NCI1,0.632026586,5,gUz7l,0.945543677,777,0.8004866180048662,1,3
NCI1,0.632026586,5,isoNY,0.945543677,777,0.7688564476885644,2,3
NCI1,0.632026586,5,dd89c,0.945543677,777,0.7761557177615572,3,3
NCI1,0.632026586,5,MjllY,0.945543677,777,0.7883211678832117,4,3
NCI1,0.632026586,5,CbtIh,0.945543677,777,0.7761557177615572,5,3
NCI1,0.632026586,5,vYdRI,0.945543677,777,0.781021897810219,6,3
NCI1,0.632026586,5,hckae,0.945543677,777,0.7858880778588808,7,3
NCI1,0.632026586,5,yCzCb,0.945543677,777,0.7931873479318735,8,3
NCI1,0.632026586,5,kN6uw,0.945543677,777,0.7737226277372263,9,3
NCI1,0.632026586,5,PTdJl,0.945543677,777,0.7785888077858881,10,3
