seed,pooling_edges,dataset,reward,pooling_nodes,id,num_layers,decoupled,conv,K,pool
11,0.8,PROTEINS,0.7232142857142857,0.6,Ra6bw,5,False,LiCheb,3,LookHops
22,0.8,PROTEINS,0.7321428571428571,0.6,eb7uu,5,False,LiCheb,3,LookHops
33,0.8,PROTEINS,0.7142857142857143,0.6,HfInW,5,False,LiCheb,3,LookHops
44,0.8,PROTEINS,0.75,0.6,O00NB,5,False,LiCheb,3,LookHops
55,0.8,PROTEINS,0.7857142857142857,0.6,b0vPC,5,False,LiCheb,3,LookHops
66,0.8,PROTEINS,0.8035714285714286,0.6,nzbj6,5,False,LiCheb,3,LookHops
77,0.8,PROTEINS,0.8125,0.6,JhHBi,5,False,LiCheb,3,LookHops
88,0.8,PROTEINS,0.7589285714285714,0.6,oi0zk,5,False,LiCheb,3,LookHops
99,0.8,PROTEINS,0.7142857142857143,0.6,kQx4n,5,False,LiCheb,3,LookHops
110,0.8,PROTEINS,0.6785714285714286,0.6,cGOw1,5,False,LiCheb,3,LookHops
11,0.7,DD,0.680672268907563,0.8,qAAiO,5,False,LiCheb,3,LookHops
22,0.7,DD,0.7815126050420168,0.8,CtNKj,5,False,LiCheb,3,LookHops
44,0.7,DD,0.7899159663865546,0.8,sncQM,5,False,LiCheb,3,LookHops
55,0.7,DD,0.7142857142857143,0.8,Sld6l,5,False,LiCheb,3,LookHops
66,0.7,DD,0.8571428571428571,0.8,SS47s,5,False,LiCheb,3,LookHops
77,0.7,DD,0.7563025210084033,0.8,lWp0w,5,False,LiCheb,3,LookHops
88,0.7,DD,0.7899159663865546,0.8,VFyWC,5,False,LiCheb,3,LookHops
99,0.7,DD,0.7983193277310925,0.8,b6Pha,5,False,LiCheb,3,LookHops
110,0.7,DD,0.7899159663865546,0.8,Rx0g2,5,False,LiCheb,3,LookHops
11,0.9,NCI1,0.7761557177615572,0.9,Uj1KY,5,False,LiCheb,3,LookHops
22,0.9,NCI1,0.7858880778588808,0.9,MHiO5,5,False,LiCheb,3,LookHops
33,0.9,NCI1,0.7664233576642335,0.9,d14kB,5,False,LiCheb,3,LookHops
44,0.9,NCI1,0.7615571776155717,0.9,RQqGv,5,False,LiCheb,3,LookHops
55,0.9,NCI1,0.7834549878345499,0.9,gU0DT,5,False,LiCheb,3,LookHops
66,0.9,NCI1,0.7688564476885644,0.9,FdR76,5,False,LiCheb,3,LookHops
77,0.9,NCI1,0.7737226277372263,0.9,TKLpi,5,False,LiCheb,3,LookHops
88,0.9,NCI1,0.732360097323601,0.9,lIhlc,5,False,LiCheb,3,LookHops
99,0.9,NCI1,0.7445255474452555,0.9,GQOTQ,5,False,LiCheb,3,LookHops
110,0.9,NCI1,0.7883211678832117,0.9,C3IPP,5,False,LiCheb,3,LookHops
11,0.4,NCI109,0.7391304347826086,0.9,uSxZh,5,False,LiCheb,3,LookHops
22,0.4,NCI109,0.7294685990338164,0.9,NzUvW,5,False,LiCheb,3,LookHops
33,0.4,NCI109,0.7536231884057971,0.9,egzDR,5,False,LiCheb,3,LookHops
44,0.4,NCI109,0.7874396135265701,0.9,MKMTq,5,False,LiCheb,3,LookHops
55,0.4,NCI109,0.7705314009661836,0.9,BVZXB,5,False,LiCheb,3,LookHops
66,0.4,NCI109,0.7294685990338164,0.9,dEY7i,5,False,LiCheb,3,LookHops
77,0.4,NCI109,0.7342995169082126,0.9,L5bKn,5,False,LiCheb,3,LookHops
88,0.4,NCI109,0.7729468599033816,0.9,QPJXe,5,False,LiCheb,3,LookHops
99,0.4,NCI109,0.7898550724637681,0.9,ZZsYn,5,False,LiCheb,3,LookHops
110,0.4,NCI109,0.7391304347826086,0.9,DPNiJ,5,False,LiCheb,3,LookHops
11,0.7,Mutagenicity,0.7839080459770115,0.9,RUbs3,5,False,LiCheb,3,LookHops
22,0.7,Mutagenicity,0.8183908045977012,0.9,XN0Rb,5,False,LiCheb,3,LookHops
33,0.7,Mutagenicity,0.7724137931034483,0.9,Hgva0,5,False,LiCheb,3,LookHops
44,0.7,Mutagenicity,0.8505747126436781,0.9,JmFor,5,False,LiCheb,3,LookHops
55,0.7,Mutagenicity,0.8298850574712644,0.9,YCDVf,5,False,LiCheb,3,LookHops
66,0.7,Mutagenicity,0.8,0.9,SuzZl,5,False,LiCheb,3,LookHops
77,0.7,Mutagenicity,0.8344827586206897,0.9,GdTeS,5,False,LiCheb,3,LookHops
88,0.7,Mutagenicity,0.7885057471264367,0.9,kPHXu,5,False,LiCheb,3,LookHops
99,0.7,Mutagenicity,0.8137931034482758,0.9,CfIC9,5,False,LiCheb,3,LookHops
110,0.7,Mutagenicity,0.8045977011494253,0.9,YX2w6,5,False,LiCheb,3,LookHops
11,0.6,FRANKENSTEIN,0.6367816091954023,0.9,YMcJP,5,False,LiCheb,3,LookHops
22,0.6,FRANKENSTEIN,0.6528735632183909,0.9,VVRh4,5,False,LiCheb,3,LookHops
33,0.6,FRANKENSTEIN,0.6413793103448275,0.9,FfnjT,5,False,LiCheb,3,LookHops
44,0.6,FRANKENSTEIN,0.6367816091954023,0.9,tKNfQ,5,False,LiCheb,3,LookHops
55,0.6,FRANKENSTEIN,0.6413793103448275,0.9,pCUH0,5,False,LiCheb,3,LookHops
66,0.6,FRANKENSTEIN,0.671264367816092,0.9,t7phH,5,False,LiCheb,3,LookHops
