decoupled,reward,seed,num_layers,K,pool,pooling_edges,id,dataset,conv,pooling_nodes
False,0.7321428571428571,11,5,3,LookHops,0.6,lMzZp,PROTEINS,LiCheb,0.6
False,0.6875,22,5,3,LookHops,0.6,glJj8,PROTEINS,LiCheb,0.6
False,0.7053571428571429,33,5,3,LookHops,0.6,WthBv,PROTEINS,LiCheb,0.6
False,0.75,44,5,3,LookHops,0.6,FXDVe,PROTEINS,LiCheb,0.6
False,0.7589285714285714,55,5,3,LookHops,0.6,u03x0,PROTEINS,LiCheb,0.6
False,0.8303571428571429,66,5,3,LookHops,0.6,kkBTl,PROTEINS,LiCheb,0.6
False,0.7589285714285714,77,5,3,LookHops,0.6,ALF3u,PROTEINS,LiCheb,0.6
False,0.7232142857142857,88,5,3,LookHops,0.6,Qgfcg,PROTEINS,LiCheb,0.6
False,0.6964285714285714,99,5,3,LookHops,0.6,rYgDV,PROTEINS,LiCheb,0.6
False,0.6339285714285714,110,5,3,LookHops,0.6,TiJuH,PROTEINS,LiCheb,0.6
False,0.6974789915966386,11,5,3,LookHops,0.8,gVXtE,DD,LiCheb,0.8
False,0.7899159663865546,22,5,3,LookHops,0.8,JmUNe,DD,LiCheb,0.8
False,0.7310924369747899,33,5,3,LookHops,0.8,KuoyZ,DD,LiCheb,0.8
False,0.8571428571428571,44,5,3,LookHops,0.8,ah4VE,DD,LiCheb,0.8
False,0.7478991596638656,55,5,3,LookHops,0.8,UxKzg,DD,LiCheb,0.8
False,0.8235294117647058,66,5,3,LookHops,0.8,CBSHg,DD,LiCheb,0.8
False,0.7478991596638656,88,5,3,LookHops,0.8,K3oX6,DD,LiCheb,0.8
False,0.7983193277310925,110,5,3,LookHops,0.8,egkKq,DD,LiCheb,0.8
False,0.754257907542579,11,5,3,LookHops,0.9,ouIQ2,NCI1,LiCheb,0.9
False,0.7664233576642335,22,5,3,LookHops,0.9,TuDFA,NCI1,LiCheb,0.9
False,0.7639902676399026,33,5,3,LookHops,0.9,kgZQJ,NCI1,LiCheb,0.9
False,0.7396593673965937,44,5,3,LookHops,0.9,jk3fe,NCI1,LiCheb,0.9
False,0.781021897810219,55,5,3,LookHops,0.9,ukAs1,NCI1,LiCheb,0.9
False,0.781021897810219,66,5,3,LookHops,0.9,mXyVA,NCI1,LiCheb,0.9
False,0.7688564476885644,77,5,3,LookHops,0.9,SnY9j,NCI1,LiCheb,0.9
False,0.7591240875912408,88,5,3,LookHops,0.9,vKab2,NCI1,LiCheb,0.9
False,0.7274939172749392,99,5,3,LookHops,0.9,q0YTs,NCI1,LiCheb,0.9
False,0.7907542579075426,110,5,3,LookHops,0.9,JHadF,NCI1,LiCheb,0.9
False,0.7439613526570048,55,5,3,LookHops,0.9,zGC2R,NCI109,LiCheb,0.9
False,0.8043478260869565,66,5,3,LookHops,0.9,QEP4h,NCI109,LiCheb,0.9
False,0.7125603864734299,77,5,3,LookHops,0.9,R6HGT,NCI109,LiCheb,0.9
False,0.7632850241545893,88,5,3,LookHops,0.9,vKMqp,NCI109,LiCheb,0.9
False,0.7463768115942029,99,5,3,LookHops,0.9,IHMj0,NCI109,LiCheb,0.9
False,0.748792270531401,110,5,3,LookHops,0.9,e8qhc,NCI109,LiCheb,0.9
False,0.7954022988505747,11,5,3,LookHops,0.9,Kn3sV,Mutagenicity,LiCheb,0.9
False,0.7563218390804598,22,5,3,LookHops,0.9,N67PT,Mutagenicity,LiCheb,0.9
False,0.7770114942528735,33,5,3,LookHops,0.9,ujUqM,Mutagenicity,LiCheb,0.9
False,0.8390804597701149,44,5,3,LookHops,0.9,Z1bLv,Mutagenicity,LiCheb,0.9
False,0.6298850574712643,11,5,3,LookHops,0.9,V1OiK,FRANKENSTEIN,LiCheb,0.9
False,0.6482758620689655,22,5,3,LookHops,0.9,REpno,FRANKENSTEIN,LiCheb,0.9
False,0.6137931034482759,33,5,3,LookHops,0.9,PYNXQ,FRANKENSTEIN,LiCheb,0.9
False,0.593103448275862,44,5,3,LookHops,0.9,nOxTB,FRANKENSTEIN,LiCheb,0.9
False,0.6022988505747127,55,5,3,LookHops,0.9,trFCb,FRANKENSTEIN,LiCheb,0.9
False,0.6436781609195402,88,5,3,LookHops,0.9,MDktW,FRANKENSTEIN,LiCheb,0.9
False,0.6666666666666666,110,5,3,LookHops,0.9,GgXYv,FRANKENSTEIN,LiCheb,0.9
