decoupled,pooling_nodes,K,pool,id,pooling_edges,conv,seed,num_layers,dataset,reward
FALSE,0.8,3,LookHops,dfkFy,1,LiCheb,11,5,DD,0.705882353
FALSE,0.8,3,LookHops,O3DSu,1,LiCheb,22,5,DD,0.781512605
FALSE,0.8,3,LookHops,KLm0f,1,LiCheb,33,5,DD,0.722689076
FALSE,0.8,3,LookHops,fHv0g,1,LiCheb,44,5,DD,0.74789916
FALSE,0.8,3,LookHops,U52GV,1,LiCheb,55,5,DD,0.714285714
FALSE,0.8,3,LookHops,ejY7r,1,LiCheb,66,5,DD,0.831932773
FALSE,0.8,3,LookHops,BGOU3,1,LiCheb,77,5,DD,0.773109244
FALSE,0.8,3,LookHops,Teepm,1,LiCheb,88,5,DD,0.789915966
FALSE,0.8,3,LookHops,FAiHN,1,LiCheb,99,5,DD,0.806722689
FALSE,0.8,3,LookHops,Gy3ts,1,LiCheb,110,5,DD,0.789915966
FALSE,0.9,3,LookHops,Q90G1,1,LiCheb,11,5,FRANKENSTEIN,0.625287356
FALSE,0.9,3,LookHops,rw3SK,1,LiCheb,22,5,FRANKENSTEIN,0.63908046
FALSE,0.9,3,LookHops,y2uIt,1,LiCheb,33,5,FRANKENSTEIN,0.664367816
FALSE,0.9,3,LookHops,zVbws,1,LiCheb,44,5,FRANKENSTEIN,0.63908046
FALSE,0.9,3,LookHops,bVdaN,1,LiCheb,55,5,FRANKENSTEIN,0.643678161
FALSE,0.9,3,LookHops,fEgOB,1,LiCheb,66,5,FRANKENSTEIN,0.668965517
FALSE,0.9,3,LookHops,Q38dh,1,LiCheb,77,5,FRANKENSTEIN,0.645977011
FALSE,0.9,3,LookHops,kH9BS,1,LiCheb,88,5,FRANKENSTEIN,0.664367816
FALSE,0.9,3,LookHops,KXnik,1,LiCheb,99,5,FRANKENSTEIN,0.664367816
FALSE,0.9,3,LookHops,Q7XaH,1,LiCheb,110,5,FRANKENSTEIN,0.655172414
FALSE,0.9,3,LookHops,lQEZD,1,LiCheb,11,5,Mutagenicity,0.774712644
