K,conv,pooling_edges,seed,decoupled,reward,id,pool,dataset,pooling_nodes,num_layers
3,LiCheb,1,22,FALSE,0.798319328,PBTfZ,LookHops,DD,0.8,5
3,LiCheb,1,33,FALSE,0.722689076,PQMx1,LookHops,DD,0.8,5
3,LiCheb,1,44,FALSE,0.840336134,A3Tp4,LookHops,DD,0.8,5
3,LiCheb,1,55,FALSE,0.756302521,r4Jfu,LookHops,DD,0.8,5
3,LiCheb,1,66,FALSE,0.823529412,twmNy,LookHops,DD,0.8,5
3,LiCheb,1,77,FALSE,0.773109244,AM8mj,LookHops,DD,0.8,5
3,LiCheb,1,88,FALSE,0.764705882,gsmXP,LookHops,DD,0.8,5
3,LiCheb,1,99,FALSE,0.756302521,nEMuj,LookHops,DD,0.8,5
3,LiCheb,1,11,FALSE,0.722689076,Uei8Q,LookHops,DD,0.8,5
3,LiCheb,1,110,FALSE,0.789915966,oHGew,LookHops,DD,0.8,5
3,LiCheb,1,55,FALSE,0.588505747,X4jfK,LookHops,FRANKENSTEIN,0.9,5
3,LiCheb,1,66,FALSE,0.657471264,peqdL,LookHops,FRANKENSTEIN,0.9,5
3,LiCheb,1,77,FALSE,0.625287356,FyhN4,LookHops,FRANKENSTEIN,0.9,5
3,LiCheb,1,88,FALSE,0.634482759,F622H,LookHops,FRANKENSTEIN,0.9,5
3,LiCheb,1,99,FALSE,0.643678161,A6yTo,LookHops,FRANKENSTEIN,0.9,5
3,LiCheb,1,110,FALSE,0.668965517,oZEEo,LookHops,FRANKENSTEIN,0.9,5
3,LiCheb,1,11,FALSE,0.648275862,uPbZR,LookHops,FRANKENSTEIN,0.9,5
3,LiCheb,1,22,FALSE,0.664367816,Dfqzd,LookHops,FRANKENSTEIN,0.9,5
3,LiCheb,1,33,FALSE,0.622988506,n2qxI,LookHops,FRANKENSTEIN,0.9,5
3,LiCheb,1,44,FALSE,0.595402299,TGesK,LookHops,FRANKENSTEIN,0.9,5
3,LiCheb,1,11,FALSE,0.770114943,aVDZR,LookHops,Mutagenicity,0.9,5
3,LiCheb,1,22,FALSE,0.772413793,f393r,LookHops,Mutagenicity,0.9,5
3,LiCheb,1,33,FALSE,0.786206897,m0ozp,LookHops,Mutagenicity,0.9,5
3,LiCheb,1,44,FALSE,0.822988506,H8QYW,LookHops,Mutagenicity,0.9,5
3,LiCheb,1,55,FALSE,0.802298851,DuKAg,LookHops,Mutagenicity,0.9,5
3,LiCheb,1,66,FALSE,0.802298851,bpthC,LookHops,Mutagenicity,0.9,5
3,LiCheb,1,77,FALSE,0.8,hAwgR,LookHops,Mutagenicity,0.9,5
