seed,pool,K,pooling_edges,dataset,conv,num_layers,reward,pooling_nodes,id
11,NoPool,1,1,ENZYMES,GCN,4,0.2,0.799915408,mp0Ey
22,NoPool,1,1,ENZYMES,GCN,4,0.35,0.799915408,K2qNI
33,NoPool,1,1,ENZYMES,GCN,4,0.4166666666666667,0.799915408,oYrYL
44,NoPool,1,1,ENZYMES,GCN,4,0.43333333333333335,0.799915408,YwDCZ
55,NoPool,1,1,ENZYMES,GCN,4,0.48333333333333334,0.799915408,NMJf8
66,NoPool,1,1,ENZYMES,GCN,4,0.35,0.799915408,ORuSh
77,NoPool,1,1,ENZYMES,GCN,4,0.55,0.799915408,dsHHa
88,NoPool,1,1,ENZYMES,GCN,4,0.2,0.799915408,wJwyC
99,NoPool,1,1,ENZYMES,GCN,4,0.26666666666666666,0.799915408,EBi8u
110,NoPool,1,1,ENZYMES,GCN,4,0.25,0.799915408,ZV5Vj
11,NoPool,1,1,ENZYMES,GAT,4,0.5333333333333333,0.799915408,dmkUs
22,NoPool,1,1,ENZYMES,GAT,4,0.3,0.799915408,m3Kkc
33,NoPool,1,1,ENZYMES,GAT,4,0.2833333333333333,0.799915408,rmv95
44,NoPool,1,1,ENZYMES,GAT,4,0.4,0.799915408,HqKvU
55,NoPool,1,1,ENZYMES,GAT,4,0.3333333333333333,0.799915408,CNYLq
66,NoPool,1,1,ENZYMES,GAT,4,0.16666666666666666,0.799915408,pu23J
77,NoPool,1,1,ENZYMES,GAT,4,0.45,0.799915408,JRv8I
88,NoPool,1,1,ENZYMES,GAT,4,0.35,0.799915408,fmYJ6
99,NoPool,1,1,ENZYMES,GAT,4,0.26666666666666666,0.799915408,z5G9G
110,NoPool,1,1,ENZYMES,GAT,4,0.36666666666666664,0.799915408,S6YOZ
11,NoPool,1,1,ENZYMES,ChebConv,4,0.18333333333333332,0.799915408,GqW7G
22,NoPool,1,1,ENZYMES,ChebConv,4,0.23333333333333334,0.799915408,yjpDj
33,NoPool,1,1,ENZYMES,ChebConv,4,0.5166666666666667,0.799915408,Y20DK
44,NoPool,1,1,ENZYMES,ChebConv,4,0.6333333333333333,0.799915408,OX9Tv
55,NoPool,1,1,ENZYMES,ChebConv,4,0.35,0.799915408,dGU6M
66,NoPool,1,1,ENZYMES,ChebConv,4,0.4666666666666667,0.799915408,mxQD7
77,NoPool,1,1,ENZYMES,ChebConv,4,0.5833333333333334,0.799915408,Zb4hP
88,NoPool,1,1,ENZYMES,ChebConv,4,0.25,0.799915408,J6byW
99,NoPool,1,1,ENZYMES,ChebConv,4,0.23333333333333334,0.799915408,dbaSh
110,NoPool,1,1,ENZYMES,ChebConv,4,0.4166666666666667,0.799915408,BjtvI
11,NoPool,1,1,ENZYMES,LiCheb,4,0.3,0.799915408,sCaed
22,NoPool,1,1,ENZYMES,LiCheb,4,0.3333333333333333,0.799915408,bXvsi
33,NoPool,1,1,ENZYMES,LiCheb,4,0.3333333333333333,0.799915408,vSrmf
44,NoPool,1,1,ENZYMES,LiCheb,4,0.36666666666666664,0.799915408,F95Nv
55,NoPool,1,1,ENZYMES,LiCheb,4,0.2833333333333333,0.799915408,rT79f
66,NoPool,1,1,ENZYMES,LiCheb,4,0.43333333333333335,0.799915408,nzXbQ
77,NoPool,1,1,ENZYMES,LiCheb,4,0.5166666666666667,0.799915408,efY7U
88,NoPool,1,1,ENZYMES,LiCheb,4,0.45,0.799915408,pepjN
99,NoPool,1,1,ENZYMES,LiCheb,4,0.2833333333333333,0.799915408,kr6q2
110,NoPool,1,1,ENZYMES,LiCheb,4,0.35,0.799915408,ITvPx
