pool,dataset,reward,id,pooling_nodes,conv,num_layers,seed,pooling_edges,K
NoPool,Mutagenicity,0.7655172413793103,Qs4VR,0.426631657,GCN,2,11,1,2
NoPool,Mutagenicity,0.7632183908045977,NsLPS,0.426631657,GCN,2,22,1,2
NoPool,Mutagenicity,0.7540229885057471,oLpWS,0.426631657,GCN,2,33,1,2
NoPool,Mutagenicity,0.8528735632183908,fQlfd,0.426631657,GCN,2,44,1,2
NoPool,Mutagenicity,0.8114942528735632,q0cvS,0.426631657,GCN,2,55,1,2
NoPool,Mutagenicity,0.8137931034482758,vWMlw,0.426631657,GCN,2,66,1,2
NoPool,Mutagenicity,0.8160919540229885,sgZ31,0.426631657,GCN,2,77,1,2
NoPool,Mutagenicity,0.7563218390804598,K7ZQs,0.426631657,GCN,2,88,1,2
NoPool,Mutagenicity,0.825287356321839,b0HhE,0.426631657,GCN,2,99,1,2
NoPool,Mutagenicity,0.8045977011494253,ZPE1F,0.426631657,GCN,2,110,1,2
NoPool,Mutagenicity,0.8,rzAHX,0.426631657,GAT,2,11,1,2
NoPool,Mutagenicity,0.8137931034482758,vTxrc,0.426631657,GAT,2,22,1,2
NoPool,Mutagenicity,0.7862068965517242,IyEsD,0.426631657,GAT,2,33,1,2
NoPool,Mutagenicity,0.8367816091954023,VmNXa,0.426631657,GAT,2,44,1,2
NoPool,Mutagenicity,0.7954022988505747,YeGBd,0.426631657,GAT,2,55,1,2
NoPool,Mutagenicity,0.7862068965517242,CkMc1,0.426631657,GAT,2,66,1,2
NoPool,Mutagenicity,0.8022988505747126,zpKRp,0.426631657,GAT,2,77,1,2
NoPool,Mutagenicity,0.7724137931034483,cWoaQ,0.426631657,GAT,2,88,1,2
NoPool,Mutagenicity,0.7977011494252874,zsMJp,0.426631657,GAT,2,99,1,2
NoPool,Mutagenicity,0.7977011494252874,WSkYX,0.426631657,GAT,2,110,1,2
NoPool,Mutagenicity,0.7908045977011494,UTg4R,0.426631657,ChebConv,2,11,1,2
NoPool,Mutagenicity,0.7908045977011494,vThtc,0.426631657,ChebConv,2,22,1,2
NoPool,Mutagenicity,0.7862068965517242,ff6Nq,0.426631657,ChebConv,2,33,1,2
NoPool,Mutagenicity,0.864367816091954,GuNK5,0.426631657,ChebConv,2,44,1,2
NoPool,Mutagenicity,0.8367816091954023,X0CGV,0.426631657,ChebConv,2,55,1,2
NoPool,Mutagenicity,0.7908045977011494,Q1Wvg,0.426631657,ChebConv,2,66,1,2
NoPool,Mutagenicity,0.832183908045977,noaTz,0.426631657,ChebConv,2,77,1,2
NoPool,Mutagenicity,0.7701149425287356,A1Jwf,0.426631657,ChebConv,2,88,1,2
NoPool,Mutagenicity,0.8160919540229885,gxkLN,0.426631657,ChebConv,2,99,1,2
NoPool,Mutagenicity,0.7977011494252874,b9NnD,0.426631657,ChebConv,2,110,1,2
NoPool,Mutagenicity,0.7862068965517242,sLxaH,0.426631657,LiCheb,2,11,1,2
NoPool,Mutagenicity,0.8505747126436781,KPD1H,0.426631657,LiCheb,2,22,1,2
NoPool,Mutagenicity,0.7931034482758621,IeTSv,0.426631657,LiCheb,2,33,1,2
NoPool,Mutagenicity,0.8298850574712644,QqgxG,0.426631657,LiCheb,2,44,1,2
NoPool,Mutagenicity,0.8160919540229885,EQISW,0.426631657,LiCheb,2,55,1,2
NoPool,Mutagenicity,0.8183908045977012,tcfCh,0.426631657,LiCheb,2,66,1,2
NoPool,Mutagenicity,0.8298850574712644,kiJgI,0.426631657,LiCheb,2,77,1,2
NoPool,Mutagenicity,0.8,NIQfM,0.426631657,LiCheb,2,88,1,2
NoPool,Mutagenicity,0.8137931034482758,EMBTd,0.426631657,LiCheb,2,99,1,2
NoPool,Mutagenicity,0.8068965517241379,CDdEP,0.426631657,LiCheb,2,110,1,2
