K,conv,num_layers,pool,seed,pooling_nodes,reward,pooling_edges,id,dataset
3,GCN,5,NoPool,11,0.632026586,0.7177615571776156,1,bXk6O,NCI1
3,GCN,5,NoPool,22,0.632026586,0.7737226277372263,1,z4sFU,NCI1
3,GCN,5,NoPool,33,0.632026586,0.7396593673965937,1,H76mW,NCI1
3,GCN,5,NoPool,44,0.632026586,0.7445255474452555,1,DuM10,NCI1
3,GCN,5,NoPool,55,0.632026586,0.7956204379562044,1,D38oU,NCI1
3,GCN,5,NoPool,66,0.632026586,0.7931873479318735,1,b8nqq,NCI1
3,GCN,5,NoPool,77,0.632026586,0.7469586374695864,1,lm2YV,NCI1
3,GCN,5,NoPool,88,0.632026586,0.7639902676399026,1,wEt6a,NCI1
3,GCN,5,NoPool,99,0.632026586,0.7518248175182481,1,V3Ab2,NCI1
3,GCN,5,NoPool,110,0.632026586,0.7518248175182481,1,GwtLm,NCI1
3,GAT,5,NoPool,11,0.632026586,0.7372262773722628,1,N4AKl,NCI1
3,GAT,5,NoPool,22,0.632026586,0.7785888077858881,1,FRM4V,NCI1
3,GAT,5,NoPool,33,0.632026586,0.7664233576642335,1,pMfxN,NCI1
3,GAT,5,NoPool,44,0.632026586,0.6423357664233577,1,kcO5n,NCI1
3,GAT,5,NoPool,55,0.632026586,0.8004866180048662,1,kyxp7,NCI1
3,GAT,5,NoPool,66,0.632026586,0.7931873479318735,1,bEjUl,NCI1
3,GAT,5,NoPool,77,0.632026586,0.7980535279805353,1,sD4QX,NCI1
3,GAT,5,NoPool,88,0.632026586,0.7737226277372263,1,iSmWI,NCI1
3,GAT,5,NoPool,99,0.632026586,0.7688564476885644,1,I6Whi,NCI1
3,GAT,5,NoPool,110,0.632026586,0.7761557177615572,1,UgbwQ,NCI1
3,ChebConv,5,NoPool,11,0.632026586,0.7469586374695864,1,GrlhC,NCI1
3,ChebConv,5,NoPool,22,0.632026586,0.7834549878345499,1,mjh1o,NCI1
3,ChebConv,5,NoPool,33,0.632026586,0.7688564476885644,1,afC3C,NCI1
3,ChebConv,5,NoPool,44,0.632026586,0.7153284671532847,1,lpjf5,NCI1
3,ChebConv,5,NoPool,55,0.632026586,0.8223844282238443,1,PeQMr,NCI1
3,ChebConv,5,NoPool,66,0.632026586,0.805352798053528,1,MzfWJ,NCI1
3,ChebConv,5,NoPool,77,0.632026586,0.7956204379562044,1,c3Xpf,NCI1
3,ChebConv,5,NoPool,88,0.632026586,0.7883211678832117,1,R5Thx,NCI1
3,ChebConv,5,NoPool,99,0.632026586,0.8029197080291971,1,eOC0b,NCI1
3,ChebConv,5,NoPool,110,0.632026586,0.8004866180048662,1,pV8qo,NCI1
3,LiCheb,5,NoPool,11,0.632026586,0.7712895377128953,1,rk9VH,NCI1
3,LiCheb,5,NoPool,22,0.632026586,0.7761557177615572,1,x0M5B,NCI1
3,LiCheb,5,NoPool,33,0.632026586,0.7761557177615572,1,eReNr,NCI1
3,LiCheb,5,NoPool,44,0.632026586,0.7761557177615572,1,axiqZ,NCI1
3,LiCheb,5,NoPool,55,0.632026586,0.8175182481751825,1,vN3Zq,NCI1
3,LiCheb,5,NoPool,66,0.632026586,0.7883211678832117,1,knSR7,NCI1
3,LiCheb,5,NoPool,77,0.632026586,0.8029197080291971,1,KlZfa,NCI1
3,LiCheb,5,NoPool,88,0.632026586,0.8004866180048662,1,Z3gkG,NCI1
3,LiCheb,5,NoPool,99,0.632026586,0.7615571776155717,1,KlFZj,NCI1
3,LiCheb,5,NoPool,110,0.632026586,0.7883211678832117,1,WdYRl,NCI1
