pooling_nodes,id,pooling_edges,num_layers,seed,pool,reward,dataset,K,conv
0.271521829,l6gGV,1,5,11,NoPool,0.7946428571428571,PROTEINS,3,GCN
0.271521829,P9EWU,1,5,22,NoPool,0.7321428571428571,PROTEINS,3,GCN
0.271521829,r21HW,1,5,33,NoPool,0.75,PROTEINS,3,GCN
0.271521829,z8Gyd,1,5,44,NoPool,0.7142857142857143,PROTEINS,3,GCN
0.271521829,oDt0B,1,5,55,NoPool,0.8214285714285714,PROTEINS,3,GCN
0.271521829,vw2Oi,1,5,66,NoPool,0.8125,PROTEINS,3,GCN
0.271521829,loqt0,1,5,77,NoPool,0.7589285714285714,PROTEINS,3,GCN
0.271521829,tjq1d,1,5,88,NoPool,0.7678571428571429,PROTEINS,3,GCN
0.271521829,KaEhv,1,5,99,NoPool,0.75,PROTEINS,3,GCN
0.271521829,Fu99R,1,5,110,NoPool,0.7142857142857143,PROTEINS,3,GCN
0.271521829,YjxKk,1,5,11,NoPool,0.7589285714285714,PROTEINS,3,GAT
0.271521829,PSnxX,1,5,22,NoPool,0.6875,PROTEINS,3,GAT
0.271521829,nDAhC,1,5,33,NoPool,0.7946428571428571,PROTEINS,3,GAT
0.271521829,T0VMu,1,5,44,NoPool,0.7232142857142857,PROTEINS,3,GAT
0.271521829,YD5Su,1,5,55,NoPool,0.7589285714285714,PROTEINS,3,GAT
0.271521829,EsA5T,1,5,66,NoPool,0.8125,PROTEINS,3,GAT
0.271521829,XXIfK,1,5,77,NoPool,0.7410714285714286,PROTEINS,3,GAT
0.271521829,s0tEJ,1,5,88,NoPool,0.7767857142857143,PROTEINS,3,GAT
0.271521829,T68WB,1,5,99,NoPool,0.7589285714285714,PROTEINS,3,GAT
0.271521829,mMvtD,1,5,110,NoPool,0.6875,PROTEINS,3,GAT
0.271521829,AAVng,1,5,11,NoPool,0.7410714285714286,PROTEINS,3,ChebConv
0.271521829,Z77du,1,5,22,NoPool,0.7142857142857143,PROTEINS,3,ChebConv
0.271521829,L33LI,1,5,33,NoPool,0.6696428571428571,PROTEINS,3,ChebConv
0.271521829,U6m2j,1,5,44,NoPool,0.7232142857142857,PROTEINS,3,ChebConv
0.271521829,mqVvF,1,5,55,NoPool,0.7589285714285714,PROTEINS,3,ChebConv
0.271521829,rFmjl,1,5,66,NoPool,0.8035714285714286,PROTEINS,3,ChebConv
0.271521829,e5soi,1,5,77,NoPool,0.7232142857142857,PROTEINS,3,ChebConv
0.271521829,Nltrg,1,5,88,NoPool,0.7857142857142857,PROTEINS,3,ChebConv
0.271521829,Mxhx9,1,5,99,NoPool,0.7142857142857143,PROTEINS,3,ChebConv
0.271521829,sAKDm,1,5,110,NoPool,0.7321428571428571,PROTEINS,3,ChebConv
0.271521829,H64kV,1,5,11,NoPool,0.7321428571428571,PROTEINS,3,LiCheb
0.271521829,KYe8c,1,5,22,NoPool,0.7142857142857143,PROTEINS,3,LiCheb
0.271521829,OoUOg,1,5,33,NoPool,0.6964285714285714,PROTEINS,3,LiCheb
0.271521829,aZjDs,1,5,44,NoPool,0.75,PROTEINS,3,LiCheb
0.271521829,mqh4p,1,5,55,NoPool,0.7232142857142857,PROTEINS,3,LiCheb
0.271521829,uwiqT,1,5,66,NoPool,0.8125,PROTEINS,3,LiCheb
0.271521829,prOeg,1,5,77,NoPool,0.8214285714285714,PROTEINS,3,LiCheb
0.271521829,QZbRT,1,5,88,NoPool,0.7767857142857143,PROTEINS,3,LiCheb
0.271521829,pqbXD,1,5,99,NoPool,0.6785714285714286,PROTEINS,3,LiCheb
0.271521829,lRqTw,1,5,110,NoPool,0.75,PROTEINS,3,LiCheb
