K,pool,reward,dataset,decoupled,pooling_edges,seed,pooling_nodes,num_layers,id,conv
1,NoPool,0.75,PROTEINS,True,0.8,11,0.6,5,aUWAi,LiCheb
2,NoPool,0.7857142857142857,PROTEINS,True,0.8,11,0.6,5,qerdQ,LiCheb
3,NoPool,0.7321428571428571,PROTEINS,True,0.8,11,0.6,5,DvTsU,LiCheb
4,NoPool,0.7589285714285714,PROTEINS,True,0.8,11,0.6,5,ZUxhG,LiCheb
5,NoPool,0.7678571428571429,PROTEINS,True,0.8,11,0.6,5,LjOCZ,LiCheb
1,NoPool,0.6554621848739496,DD,True,0.7,11,0.8,5,BWSJu,LiCheb
2,NoPool,0.7310924369747899,DD,True,0.7,11,0.8,5,YXdN3,LiCheb
3,NoPool,0.6974789915966386,DD,True,0.7,11,0.8,5,Sgu3s,LiCheb
4,NoPool,0.680672268907563,DD,True,0.7,11,0.8,5,caJNc,LiCheb
5,NoPool,0.7142857142857143,DD,True,0.7,11,0.8,5,RtoUd,LiCheb
1,NoPool,0.6131386861313869,NCI1,True,0.9,11,0.9,5,QJ6nA,LiCheb
2,NoPool,0.7712895377128953,NCI1,True,0.9,11,0.9,5,zHE3N,LiCheb
3,NoPool,0.7931873479318735,NCI1,True,0.9,11,0.9,5,U98Ib,LiCheb
4,NoPool,0.781021897810219,NCI1,True,0.9,11,0.9,5,lVBSI,LiCheb
5,NoPool,0.805352798053528,NCI1,True,0.9,11,0.9,5,XIAPy,LiCheb
1,NoPool,0.6666666666666666,NCI109,True,0.4,11,0.9,5,hV5Hr,LiCheb
2,NoPool,0.7729468599033816,NCI109,True,0.4,11,0.9,5,LChAP,LiCheb
3,NoPool,0.7971014492753623,NCI109,True,0.4,11,0.9,5,Q19je,LiCheb
4,NoPool,0.7681159420289855,NCI109,True,0.4,11,0.9,5,IDfPe,LiCheb
5,NoPool,0.7971014492753623,NCI109,True,0.4,11,0.9,5,cE3Da,LiCheb
2,NoPool,0.8298850574712644,Mutagenicity,True,0.8,11,0.9,5,nL7Z8,LiCheb
3,NoPool,0.832183908045977,Mutagenicity,True,0.8,11,0.9,5,Z3k4b,LiCheb
4,NoPool,0.8298850574712644,Mutagenicity,True,0.8,11,0.9,5,migGS,LiCheb
5,NoPool,0.832183908045977,Mutagenicity,True,0.8,11,0.9,5,DG09k,LiCheb
2,NoPool,0.6620689655172414,FRANKENSTEIN,True,0.6,11,0.9,5,twvP6,LiCheb
3,NoPool,0.6505747126436782,FRANKENSTEIN,True,0.6,11,0.9,5,yhsPk,LiCheb
4,NoPool,0.696551724137931,FRANKENSTEIN,True,0.6,11,0.9,5,SAYiQ,LiCheb
5,NoPool,0.6873563218390805,FRANKENSTEIN,True,0.6,11,0.9,5,IO6CG,LiCheb
1,NoPool,0.7103448275862069,Mutagenicity,True,0.8,11,0.9,5,motCO,LiCheb
1,NoPool,0.593103448275862,FRANKENSTEIN,True,0.6,11,0.9,5,oHcfI,LiCheb
