decoupled,seed,pooling_edges,id,conv,num_layers,pooling_nodes,reward,pool,K,dataset
True,22,0.8,yHnDY,LiCheb,5,0.6,0.7321428571428571,NoPool,2,PROTEINS
True,22,0.8,BCdpI,LiCheb,5,0.6,0.7321428571428571,NoPool,3,PROTEINS
True,22,0.8,ifxz8,LiCheb,5,0.6,0.7142857142857143,NoPool,4,PROTEINS
True,22,0.8,xoVZh,LiCheb,5,0.6,0.7142857142857143,NoPool,5,PROTEINS
True,22,0.7,uQOyC,LiCheb,5,0.8,0.773109243697479,NoPool,1,DD
True,22,0.7,Z6MQO,LiCheb,5,0.8,0.773109243697479,NoPool,2,DD
True,22,0.7,QFLV3,LiCheb,5,0.8,0.773109243697479,NoPool,3,DD
True,22,0.7,jwezN,LiCheb,5,0.8,0.7310924369747899,NoPool,4,DD
True,22,0.7,j3JHq,LiCheb,5,0.8,0.6890756302521008,NoPool,5,DD
True,22,0.9,EYbbc,LiCheb,5,0.9,0.6228710462287105,NoPool,1,NCI1
True,22,0.9,Lb39U,LiCheb,5,0.9,0.8175182481751825,NoPool,2,NCI1
True,22,0.9,x1ZXq,LiCheb,5,0.9,0.8077858880778589,NoPool,3,NCI1
True,22,0.9,byAkI,LiCheb,5,0.9,0.8175182481751825,NoPool,4,NCI1
True,22,0.9,VKC20,LiCheb,5,0.9,0.805352798053528,NoPool,5,NCI1
True,22,0.4,fAP7m,LiCheb,5,0.9,0.6135265700483091,NoPool,1,NCI109
True,22,0.4,ztil4,LiCheb,5,0.9,0.7536231884057971,NoPool,2,NCI109
True,22,0.4,plpME,LiCheb,5,0.9,0.7681159420289855,NoPool,3,NCI109
True,22,0.4,LnjxT,LiCheb,5,0.9,0.782608695652174,NoPool,4,NCI109
True,22,0.4,ma6HP,LiCheb,5,0.9,0.7922705314009661,NoPool,5,NCI109
True,22,0.8,fg3NU,LiCheb,5,0.9,0.8505747126436781,NoPool,2,Mutagenicity
True,22,0.8,SFCtC,LiCheb,5,0.9,0.8413793103448276,NoPool,3,Mutagenicity
True,22,0.6,q2xT6,LiCheb,5,0.9,0.6988505747126437,NoPool,3,FRANKENSTEIN
True,22,0.6,AQqKN,LiCheb,5,0.9,0.6988505747126437,NoPool,4,FRANKENSTEIN
True,22,0.6,ceY7K,LiCheb,5,0.9,0.7103448275862069,NoPool,5,FRANKENSTEIN
True,22,0.8,sN45M,LiCheb,5,0.6,0.7142857142857143,NoPool,1,PROTEINS
True,22,0.8,i1fPB,LiCheb,5,0.9,0.8229885057471265,NoPool,5,Mutagenicity
True,22,0.6,gu0e2,LiCheb,5,0.9,0.6850574712643678,NoPool,2,FRANKENSTEIN
True,22,0.8,FCeg9,LiCheb,5,0.9,0.7586206896551724,NoPool,1,Mutagenicity
True,22,0.8,Kl5re,LiCheb,5,0.9,0.8206896551724138,NoPool,4,Mutagenicity
True,22,0.6,nT4cN,LiCheb,5,0.9,0.593103448275862,NoPool,1,FRANKENSTEIN
