id,pool,decoupled,dataset,reward,seed,pooling_nodes,K,num_layers,conv,pooling_edges
CMUQ0,NoPool,True,Mutagenicity,0.8206896551724138,11,0.426631657,2,2,ChebConv,1
gqxBJ,NoPool,True,Mutagenicity,0.8068965517241379,22,0.426631657,2,2,ChebConv,1
LJNtL,NoPool,True,Mutagenicity,0.7770114942528735,33,0.426631657,2,2,ChebConv,1
nJ6xk,NoPool,True,Mutagenicity,0.8436781609195402,44,0.426631657,2,2,ChebConv,1
dhUWf,NoPool,True,Mutagenicity,0.8413793103448276,55,0.426631657,2,2,ChebConv,1
fnKkZ,NoPool,True,Mutagenicity,0.7931034482758621,66,0.426631657,2,2,ChebConv,1
fjZ5I,NoPool,True,Mutagenicity,0.8068965517241379,77,0.426631657,2,2,ChebConv,1
toWJG,NoPool,True,Mutagenicity,0.7839080459770115,88,0.426631657,2,2,ChebConv,1
EWGUl,NoPool,True,Mutagenicity,0.8275862068965517,99,0.426631657,2,2,ChebConv,1
g7UfY,NoPool,True,Mutagenicity,0.8206896551724138,110,0.426631657,2,2,ChebConv,1
clIyH,NoPool,False,Mutagenicity,0.7885057471264367,11,0.426631657,2,2,ChebConv,1
C0dld,NoPool,False,Mutagenicity,0.8206896551724138,22,0.426631657,2,2,ChebConv,1
OcgfA,NoPool,False,Mutagenicity,0.7770114942528735,33,0.426631657,2,2,ChebConv,1
DclXV,NoPool,False,Mutagenicity,0.8620689655172413,44,0.426631657,2,2,ChebConv,1
j3e3v,NoPool,False,Mutagenicity,0.832183908045977,55,0.426631657,2,2,ChebConv,1
rTWCD,NoPool,False,Mutagenicity,0.8,66,0.426631657,2,2,ChebConv,1
RnZrv,NoPool,False,Mutagenicity,0.8436781609195402,77,0.426631657,2,2,ChebConv,1
T7A8k,NoPool,False,Mutagenicity,0.7770114942528735,88,0.426631657,2,2,ChebConv,1
pXHEs,NoPool,False,Mutagenicity,0.8275862068965517,99,0.426631657,2,2,ChebConv,1
QtsDO,NoPool,False,Mutagenicity,0.8091954022988506,110,0.426631657,2,2,ChebConv,1
sJSlU,NoPool,True,Mutagenicity,0.7816091954022989,11,0.426631657,2,2,LiCheb,1
qtHxF,NoPool,True,Mutagenicity,0.8275862068965517,22,0.426631657,2,2,LiCheb,1
Vuc1S,NoPool,True,Mutagenicity,0.7793103448275862,33,0.426631657,2,2,LiCheb,1
cty7d,NoPool,True,Mutagenicity,0.8482758620689655,44,0.426631657,2,2,LiCheb,1
wLgbB,NoPool,True,Mutagenicity,0.8206896551724138,55,0.426631657,2,2,LiCheb,1
GCFPA,NoPool,True,Mutagenicity,0.7793103448275862,66,0.426631657,2,2,LiCheb,1
fc3Qn,NoPool,True,Mutagenicity,0.8114942528735632,77,0.426631657,2,2,LiCheb,1
swk9j,NoPool,True,Mutagenicity,0.7954022988505747,88,0.426631657,2,2,LiCheb,1
YvyHD,NoPool,True,Mutagenicity,0.8183908045977012,99,0.426631657,2,2,LiCheb,1
dT5R8,NoPool,True,Mutagenicity,0.8114942528735632,110,0.426631657,2,2,LiCheb,1
e0M27,NoPool,False,Mutagenicity,0.7770114942528735,11,0.426631657,2,2,LiCheb,1
uVOsK,NoPool,False,Mutagenicity,0.7954022988505747,22,0.426631657,2,2,LiCheb,1
AtrfL,NoPool,False,Mutagenicity,0.7586206896551724,33,0.426631657,2,2,LiCheb,1
WyUBV,NoPool,False,Mutagenicity,0.8528735632183908,44,0.426631657,2,2,LiCheb,1
V88b6,NoPool,False,Mutagenicity,0.8022988505747126,55,0.426631657,2,2,LiCheb,1
R5tbo,NoPool,False,Mutagenicity,0.7839080459770115,66,0.426631657,2,2,LiCheb,1
bQpCF,NoPool,False,Mutagenicity,0.8206896551724138,77,0.426631657,2,2,LiCheb,1
Zpr1K,NoPool,False,Mutagenicity,0.7862068965517242,88,0.426631657,2,2,LiCheb,1
N5kQh,NoPool,False,Mutagenicity,0.8160919540229885,99,0.426631657,2,2,LiCheb,1
tp8za,NoPool,False,Mutagenicity,0.8068965517241379,110,0.426631657,2,2,LiCheb,1
