pooling_edges,dataset,pool,reward,decoupled,seed,pooling_nodes,K,conv,num_layers,id
1,NCI1,NoPool,0.7761557177615572,True,11,0.632026586,3,ChebConv,5,yBwep
1,NCI1,NoPool,0.7907542579075426,True,22,0.632026586,3,ChebConv,5,Dgl5N
1,NCI1,NoPool,0.7931873479318735,True,33,0.632026586,3,ChebConv,5,m8w1G
1,NCI1,NoPool,0.8077858880778589,True,44,0.632026586,3,ChebConv,5,wX0R7
1,NCI1,NoPool,0.8199513381995134,True,55,0.632026586,3,ChebConv,5,KWAJq
1,NCI1,NoPool,0.8004866180048662,True,66,0.632026586,3,ChebConv,5,ZRsxh
1,NCI1,NoPool,0.8029197080291971,True,77,0.632026586,3,ChebConv,5,rhOt3
1,NCI1,NoPool,0.8077858880778589,True,88,0.632026586,3,ChebConv,5,mI1OS
1,NCI1,NoPool,0.8004866180048662,True,99,0.632026586,3,ChebConv,5,pPyTR
1,NCI1,NoPool,0.7980535279805353,True,110,0.632026586,3,ChebConv,5,c30xA
1,NCI1,NoPool,0.7688564476885644,False,11,0.632026586,3,ChebConv,5,XVxFf
1,NCI1,NoPool,0.8077858880778589,False,22,0.632026586,3,ChebConv,5,foUfQ
1,NCI1,NoPool,0.7664233576642335,False,33,0.632026586,3,ChebConv,5,Lcd7F
1,NCI1,NoPool,0.732360097323601,False,44,0.632026586,3,ChebConv,5,Hhosg
1,NCI1,NoPool,0.8102189781021898,False,55,0.632026586,3,ChebConv,5,ATS2i
1,NCI1,NoPool,0.8004866180048662,False,66,0.632026586,3,ChebConv,5,tqK1y
1,NCI1,NoPool,0.7980535279805353,False,77,0.632026586,3,ChebConv,5,sL1xc
1,NCI1,NoPool,0.7980535279805353,False,88,0.632026586,3,ChebConv,5,xqCrQ
1,NCI1,NoPool,0.7883211678832117,False,99,0.632026586,3,ChebConv,5,FwawR
1,NCI1,NoPool,0.8029197080291971,False,110,0.632026586,3,ChebConv,5,tQMC7
1,NCI1,NoPool,0.781021897810219,True,11,0.632026586,3,LiCheb,5,ubOjs
1,NCI1,NoPool,0.7591240875912408,True,22,0.632026586,3,LiCheb,5,XEGvR
1,NCI1,NoPool,0.7761557177615572,True,33,0.632026586,3,LiCheb,5,ufFEO
1,NCI1,NoPool,0.7907542579075426,True,44,0.632026586,3,LiCheb,5,hSlqL
1,NCI1,NoPool,0.829683698296837,True,55,0.632026586,3,LiCheb,5,mtruN
1,NCI1,NoPool,0.805352798053528,True,66,0.632026586,3,LiCheb,5,c7KQJ
1,NCI1,NoPool,0.805352798053528,True,77,0.632026586,3,LiCheb,5,QQy4u
1,NCI1,NoPool,0.7883211678832117,True,88,0.632026586,3,LiCheb,5,ngai4
1,NCI1,NoPool,0.781021897810219,True,99,0.632026586,3,LiCheb,5,f7Ea9
1,NCI1,NoPool,0.7907542579075426,True,110,0.632026586,3,LiCheb,5,wZqeW
1,NCI1,NoPool,0.7615571776155717,False,11,0.632026586,3,LiCheb,5,mUW2H
1,NCI1,NoPool,0.7883211678832117,False,22,0.632026586,3,LiCheb,5,hA5oh
1,NCI1,NoPool,0.754257907542579,False,33,0.632026586,3,LiCheb,5,jdS4D
1,NCI1,NoPool,0.708029197080292,False,44,0.632026586,3,LiCheb,5,bHIWR
1,NCI1,NoPool,0.8077858880778589,False,55,0.632026586,3,LiCheb,5,Xvrbr
1,NCI1,NoPool,0.8029197080291971,False,66,0.632026586,3,LiCheb,5,Mn2JF
1,NCI1,NoPool,0.8004866180048662,False,77,0.632026586,3,LiCheb,5,K1JtF
1,NCI1,NoPool,0.7761557177615572,False,88,0.632026586,3,LiCheb,5,ATCtz
1,NCI1,NoPool,0.7785888077858881,False,99,0.632026586,3,LiCheb,5,mkXy8
1,NCI1,NoPool,0.7712895377128953,False,110,0.632026586,3,LiCheb,5,Hrp1E
