seed,pooling_nodes,conv,pooling_edges,num_layers,reward,id,decoupled,K,dataset,pool
11,0.841586839,ChebConv,1,4,0.7995169082125604,xEwyw,True,3,NCI109,NoPool
22,0.841586839,ChebConv,1,4,0.785024154589372,wUhTp,True,3,NCI109,NoPool
33,0.841586839,ChebConv,1,4,0.7729468599033816,kmQ0O,True,3,NCI109,NoPool
44,0.841586839,ChebConv,1,4,0.7971014492753623,yTWt8,True,3,NCI109,NoPool
55,0.841586839,ChebConv,1,4,0.7874396135265701,QCpMm,True,3,NCI109,NoPool
66,0.841586839,ChebConv,1,4,0.751207729468599,o1WzS,True,3,NCI109,NoPool
77,0.841586839,ChebConv,1,4,0.7608695652173914,iEKut,True,3,NCI109,NoPool
88,0.841586839,ChebConv,1,4,0.8333333333333334,J5gGn,True,3,NCI109,NoPool
99,0.841586839,ChebConv,1,4,0.7801932367149759,naB5C,True,3,NCI109,NoPool
110,0.841586839,ChebConv,1,4,0.7657004830917874,IPg5Z,True,3,NCI109,NoPool
11,0.841586839,ChebConv,1,4,0.7971014492753623,wixSv,False,3,NCI109,NoPool
22,0.841586839,ChebConv,1,4,0.7874396135265701,e4yap,False,3,NCI109,NoPool
33,0.841586839,ChebConv,1,4,0.7560386473429952,fKeWi,False,3,NCI109,NoPool
44,0.841586839,ChebConv,1,4,0.7995169082125604,qSws2,False,3,NCI109,NoPool
55,0.841586839,ChebConv,1,4,0.7753623188405797,xtKid,False,3,NCI109,NoPool
66,0.841586839,ChebConv,1,4,0.7536231884057971,kelFF,False,3,NCI109,NoPool
77,0.841586839,ChebConv,1,4,0.7415458937198067,VU8Hp,False,3,NCI109,NoPool
88,0.841586839,ChebConv,1,4,0.8115942028985508,tWMIp,False,3,NCI109,NoPool
99,0.841586839,ChebConv,1,4,0.8115942028985508,dW8NO,False,3,NCI109,NoPool
110,0.841586839,ChebConv,1,4,0.7632850241545893,sHC83,False,3,NCI109,NoPool
66,0.841586839,LiCheb,1,4,0.7801932367149759,rKXus,True,3,NCI109,NoPool
77,0.841586839,LiCheb,1,4,0.7584541062801933,SzqCK,True,3,NCI109,NoPool
110,0.841586839,LiCheb,1,4,0.7584541062801933,fHX2s,True,3,NCI109,NoPool
11,0.841586839,LiCheb,1,4,0.7705314009661836,Gjh4K,False,3,NCI109,NoPool
22,0.841586839,LiCheb,1,4,0.7415458937198067,afPkD,False,3,NCI109,NoPool
33,0.841586839,LiCheb,1,4,0.7536231884057971,lq49M,False,3,NCI109,NoPool
44,0.841586839,LiCheb,1,4,0.8067632850241546,h5T22,False,3,NCI109,NoPool
55,0.841586839,LiCheb,1,4,0.7753623188405797,d9qHC,False,3,NCI109,NoPool
66,0.841586839,LiCheb,1,4,0.7657004830917874,vkKp8,False,3,NCI109,NoPool
77,0.841586839,LiCheb,1,4,0.7584541062801933,zMg9t,False,3,NCI109,NoPool
88,0.841586839,LiCheb,1,4,0.8019323671497585,zjIBW,False,3,NCI109,NoPool
99,0.841586839,LiCheb,1,4,0.7753623188405797,V5Qhi,False,3,NCI109,NoPool
110,0.841586839,LiCheb,1,4,0.748792270531401,rqRfG,False,3,NCI109,NoPool
11,0.841586839,LiCheb,1,4,0.748792270531401,oyX50,True,3,NCI109,NoPool
22,0.841586839,LiCheb,1,4,0.7415458937198067,mFO38,True,3,NCI109,NoPool
33,0.841586839,LiCheb,1,4,0.7391304347826086,Z6TsA,True,3,NCI109,NoPool
44,0.841586839,LiCheb,1,4,0.7922705314009661,kZDKf,True,3,NCI109,NoPool
88,0.841586839,LiCheb,1,4,0.7898550724637681,EM3ft,True,3,NCI109,NoPool
99,0.841586839,LiCheb,1,4,0.8091787439613527,hozRP,True,3,NCI109,NoPool
55,0.841586839,LiCheb,1,4,0.748792270531401,EE2KD,True,3,NCI109,NoPool
