conv,pooling_nodes,num_layers,pool,dataset,K,id,reward,seed,decoupled,pooling_edges
LiMixhop,0.6,5,NoPool,PROTEINS,3,gFU9P,0.7589285714285714,11,True,0.8
LiMixhop,0.6,5,NoPool,PROTEINS,3,nYRB2,0.7232142857142857,22,True,0.8
LiMixhop,0.6,5,NoPool,PROTEINS,3,yshRP,0.6964285714285714,33,True,0.8
LiMixhop,0.6,5,NoPool,PROTEINS,3,SdnEq,0.7589285714285714,44,True,0.8
LiMixhop,0.6,5,NoPool,PROTEINS,3,AdJSy,0.7232142857142857,55,True,0.8
LiMixhop,0.6,5,NoPool,PROTEINS,3,yoVoT,0.7946428571428571,66,True,0.8
LiMixhop,0.6,5,NoPool,PROTEINS,3,aoVgi,0.8035714285714286,77,True,0.8
LiMixhop,0.6,5,NoPool,PROTEINS,3,QCwpX,0.7321428571428571,88,True,0.8
LiMixhop,0.6,5,NoPool,PROTEINS,3,wL9pM,0.7142857142857143,99,True,0.8
LiMixhop,0.6,5,NoPool,PROTEINS,3,ztCHA,0.6875,110,True,0.8
LiMixhop,0.8,5,NoPool,DD,3,rmehB,0.7394957983193278,33,True,0.7
LiMixhop,0.8,5,NoPool,DD,3,rh2Kz,0.680672268907563,55,True,0.7
LiMixhop,0.8,5,NoPool,DD,3,o3CaC,0.8823529411764706,66,True,0.7
LiMixhop,0.9,5,NoPool,NCI1,3,mhM02,0.7469586374695864,11,True,0.9
LiMixhop,0.9,5,NoPool,NCI1,3,yvAYA,0.8102189781021898,22,True,0.9
LiMixhop,0.9,5,NoPool,NCI1,3,O2KYx,0.7615571776155717,33,True,0.9
LiMixhop,0.9,5,NoPool,NCI1,3,KpG98,0.7493917274939172,44,True,0.9
LiMixhop,0.9,5,NoPool,NCI1,3,gN16j,0.8077858880778589,55,True,0.9
LiMixhop,0.9,5,NoPool,NCI1,3,mnxaw,0.7883211678832117,77,True,0.9
LiMixhop,0.9,5,NoPool,NCI1,3,akOaf,0.8077858880778589,88,True,0.9
LiMixhop,0.9,5,NoPool,NCI1,3,I8MT5,0.7931873479318735,99,True,0.9
LiMixhop,0.9,5,NoPool,NCI1,3,e7aay,0.7883211678832117,110,True,0.9
LiMixhop,0.9,5,NoPool,NCI109,3,azVdn,0.7536231884057971,22,True,0.4
LiMixhop,0.9,5,NoPool,NCI109,3,xHUB8,0.7439613526570048,33,True,0.4
LiMixhop,0.9,5,NoPool,NCI109,3,afhaU,0.7946859903381642,44,True,0.4
LiMixhop,0.9,5,NoPool,NCI109,3,JlNgQ,0.782608695652174,55,True,0.4
LiMixhop,0.9,5,NoPool,NCI109,3,myf7h,0.782608695652174,66,True,0.4
