pooling_nodes,conv,pooling_edges,dataset,reward,decoupled,pool,seed,num_layers,id,K
0.6,Mixhop,0.8,PROTEINS,0.7232142857142857,True,NoPool,11,5,V6Cyc,3
0.6,Mixhop,0.8,PROTEINS,0.6964285714285714,True,NoPool,22,5,cMUzq,3
0.6,Mixhop,0.8,PROTEINS,0.7142857142857143,True,NoPool,33,5,VXyzp,3
0.6,Mixhop,0.8,PROTEINS,0.7410714285714286,True,NoPool,44,5,GZmL0,3
0.6,Mixhop,0.8,PROTEINS,0.7410714285714286,True,NoPool,55,5,ymE2D,3
0.6,Mixhop,0.8,PROTEINS,0.8125,True,NoPool,66,5,EigBl,3
0.6,Mixhop,0.8,PROTEINS,0.7678571428571429,True,NoPool,77,5,C3NZq,3
0.6,Mixhop,0.8,PROTEINS,0.7142857142857143,True,NoPool,88,5,OxWDa,3
0.6,Mixhop,0.8,PROTEINS,0.7321428571428571,True,NoPool,99,5,Gy5aw,3
0.6,Mixhop,0.8,PROTEINS,0.7053571428571429,True,NoPool,110,5,I9oEq,3
0.8,Mixhop,0.7,DD,0.6386554621848739,True,NoPool,11,5,nNQVd,3
0.8,Mixhop,0.7,DD,0.7647058823529411,True,NoPool,22,5,zVJxs,3
0.8,Mixhop,0.7,DD,0.7815126050420168,True,NoPool,33,5,fCwnw,3
0.8,Mixhop,0.7,DD,0.7983193277310925,True,NoPool,44,5,Dsm5n,3
0.8,Mixhop,0.7,DD,0.773109243697479,True,NoPool,55,5,ZtqiS,3
0.8,Mixhop,0.7,DD,0.8151260504201681,True,NoPool,66,5,qL85z,3
0.8,Mixhop,0.7,DD,0.7310924369747899,True,NoPool,77,5,Sy3Qg,3
0.8,Mixhop,0.7,DD,0.7983193277310925,True,NoPool,88,5,iHx89,3
0.8,Mixhop,0.7,DD,0.7142857142857143,True,NoPool,99,5,SZ0AK,3
0.8,Mixhop,0.7,DD,0.773109243697479,True,NoPool,110,5,AZVhW,3
0.9,Mixhop,0.9,NCI1,0.732360097323601,True,NoPool,11,5,TedFz,3
0.9,Mixhop,0.9,NCI1,0.781021897810219,True,NoPool,22,5,NgQkL,3
0.9,Mixhop,0.9,NCI1,0.7396593673965937,True,NoPool,33,5,Zj9wV,3
0.9,Mixhop,0.9,NCI1,0.6277372262773723,True,NoPool,44,5,YtOVc,3
0.9,Mixhop,0.9,NCI1,0.7907542579075426,True,NoPool,55,5,W2MdP,3
0.9,Mixhop,0.9,NCI1,0.7785888077858881,True,NoPool,66,5,gdMWR,3
0.9,Mixhop,0.9,NCI1,0.7980535279805353,True,NoPool,77,5,ssVI4,3
0.9,Mixhop,0.9,NCI1,0.7858880778588808,True,NoPool,88,5,ElTX5,3
0.9,Mixhop,0.9,NCI1,0.7615571776155717,True,NoPool,99,5,BrtYu,3
0.9,Mixhop,0.9,NCI1,0.8004866180048662,True,NoPool,110,5,qlvAL,3
0.9,Mixhop,0.4,NCI109,0.7077294685990339,True,NoPool,11,5,Q7mYZ,3
0.9,Mixhop,0.4,NCI109,0.7294685990338164,True,NoPool,22,5,DXXML,3
