pooling_nodes,K,pool,id,dataset,conv,pooling_edges,reward,num_layers,seed
0.543869989,3,LookHops,cmFg5,DD,LiCheb,0.1,0.697478992,5,11
0.543869989,3,LookHops,NhTeV,DD,LiCheb,0.1,0.764705882,5,22
0.543869989,3,LookHops,HHmzw,DD,LiCheb,0.1,0.81512605,5,33
0.543869989,3,LookHops,oBfvS,DD,LiCheb,0.1,0.773109244,5,44
0.543869989,3,LookHops,gbhAJ,DD,LiCheb,0.1,0.722689076,5,55
0.543869989,3,LookHops,EWoVY,DD,LiCheb,0.1,0.840336134,5,66
0.543869989,3,LookHops,JWzcR,DD,LiCheb,0.1,0.764705882,5,77
0.543869989,3,LookHops,Oz3PB,DD,LiCheb,0.1,0.806722689,5,88
0.543869989,3,LookHops,fPais,DD,LiCheb,0.1,0.731092437,5,99
0.543869989,3,LookHops,LtwRL,DD,LiCheb,0.1,0.798319328,5,110
0.543869989,3,LookHops,RhQ8f,DD,LiCheb,0.2,0.697478992,5,11
0.543869989,3,LookHops,ecS5W,DD,LiCheb,0.2,0.81512605,5,22
0.543869989,3,LookHops,b1Lki,DD,LiCheb,0.2,0.764705882,5,33
0.543869989,3,LookHops,xnYkO,DD,LiCheb,0.2,0.739495798,5,44
0.543869989,3,LookHops,RENIq,DD,LiCheb,0.2,0.714285714,5,55
0.543869989,3,LookHops,aqKSn,DD,LiCheb,0.2,0.840336134,5,66
0.543869989,3,LookHops,kayfj,DD,LiCheb,0.2,0.731092437,5,77
0.543869989,3,LookHops,c25w2,DD,LiCheb,0.2,0.81512605,5,88
0.543869989,3,LookHops,hojlF,DD,LiCheb,0.2,0.705882353,5,99
0.543869989,3,LookHops,jAdc9,DD,LiCheb,0.2,0.781512605,5,110
0.543869989,3,LookHops,no664,DD,LiCheb,0.3,0.68907563,5,11
0.543869989,3,LookHops,nbePh,DD,LiCheb,0.3,0.764705882,5,22
0.543869989,3,LookHops,KDUZ8,DD,LiCheb,0.3,0.823529412,5,33
0.543869989,3,LookHops,Z1jCR,DD,LiCheb,0.3,0.789915966,5,44
0.543869989,3,LookHops,ZYkfR,DD,LiCheb,0.3,0.756302521,5,55
0.543869989,3,LookHops,qlFul,DD,LiCheb,0.3,0.848739496,5,66
0.543869989,3,LookHops,IQHUh,DD,LiCheb,0.3,0.731092437,5,77
0.543869989,3,LookHops,LcQOy,DD,LiCheb,0.3,0.806722689,5,88
0.543869989,3,LookHops,FKXAE,DD,LiCheb,0.3,0.714285714,5,99
0.543869989,3,LookHops,yUO0v,DD,LiCheb,0.3,0.756302521,5,110
0.543869989,3,LookHops,Y4a8D,DD,LiCheb,0.4,0.697478992,5,11
0.543869989,3,LookHops,RpDqm,DD,LiCheb,0.4,0.756302521,5,22
0.543869989,3,LookHops,mBpZj,DD,LiCheb,0.4,0.81512605,5,33
0.543869989,3,LookHops,yB0uC,DD,LiCheb,0.4,0.806722689,5,44
0.543869989,3,LookHops,lnxLW,DD,LiCheb,0.4,0.731092437,5,55
0.543869989,3,LookHops,IkAW7,DD,LiCheb,0.4,0.848739496,5,66
0.543869989,3,LookHops,QYpHf,DD,LiCheb,0.4,0.731092437,5,77
0.543869989,3,LookHops,t5EiY,DD,LiCheb,0.4,0.798319328,5,88
0.543869989,3,LookHops,hbfbX,DD,LiCheb,0.4,0.739495798,5,99
0.543869989,3,LookHops,JWrLU,DD,LiCheb,0.4,0.789915966,5,110
0.543869989,3,LookHops,yzi3D,DD,LiCheb,0.5,0.705882353,5,11
0.543869989,3,LookHops,RXRJm,DD,LiCheb,0.5,0.81512605,5,22
0.543869989,3,LookHops,M7Xuq,DD,LiCheb,0.5,0.798319328,5,33
0.543869989,3,LookHops,qHQZX,DD,LiCheb,0.5,0.798319328,5,44
0.543869989,3,LookHops,UepsD,DD,LiCheb,0.5,0.739495798,5,55
0.543869989,3,LookHops,Vra3w,DD,LiCheb,0.5,0.81512605,5,66
0.543869989,3,LookHops,DkRJy,DD,LiCheb,0.5,0.74789916,5,77
0.543869989,3,LookHops,NFTjl,DD,LiCheb,0.5,0.756302521,5,88
0.543869989,3,LookHops,YJOIx,DD,LiCheb,0.5,0.705882353,5,99
0.543869989,3,LookHops,gL8y1,DD,LiCheb,0.5,0.773109244,5,110
0.543869989,3,LookHops,UN3SK,DD,LiCheb,0.6,0.680672269,5,11
0.543869989,3,LookHops,NSWeA,DD,LiCheb,0.6,0.781512605,5,22
0.543869989,3,LookHops,KAlPE,DD,LiCheb,0.6,0.789915966,5,33
0.543869989,3,LookHops,KQQiD,DD,LiCheb,0.6,0.806722689,5,44
0.543869989,3,LookHops,jqAfr,DD,LiCheb,0.6,0.697478992,5,55
0.543869989,3,LookHops,hqbCu,DD,LiCheb,0.6,0.831932773,5,66
0.543869989,3,LookHops,vzEtX,DD,LiCheb,0.6,0.756302521,5,77
0.543869989,3,LookHops,IEWCe,DD,LiCheb,0.6,0.806722689,5,88
0.543869989,3,LookHops,y6DR3,DD,LiCheb,0.6,0.722689076,5,99
0.543869989,3,LookHops,wVNY7,DD,LiCheb,0.6,0.781512605,5,110
0.543869989,3,LookHops,oPUJ0,DD,LiCheb,0.7,0.739495798,5,11
0.543869989,3,LookHops,d7Yv7,DD,LiCheb,0.7,0.773109244,5,22
0.543869989,3,LookHops,mr3i5,DD,LiCheb,0.7,0.81512605,5,33
0.543869989,3,LookHops,GT6gg,DD,LiCheb,0.7,0.798319328,5,44
0.543869989,3,LookHops,sdKj8,DD,LiCheb,0.7,0.731092437,5,55
0.543869989,3,LookHops,GtnxA,DD,LiCheb,0.7,0.81512605,5,66
0.543869989,3,LookHops,h4HrJ,DD,LiCheb,0.7,0.697478992,5,77
0.543869989,3,LookHops,LHChv,DD,LiCheb,0.7,0.806722689,5,88
0.543869989,3,LookHops,CtUZA,DD,LiCheb,0.7,0.764705882,5,99
0.543869989,3,LookHops,heJqS,DD,LiCheb,0.7,0.781512605,5,110
0.543869989,3,LookHops,FRCEE,DD,LiCheb,0.8,0.731092437,5,11
0.543869989,3,LookHops,LEi9j,DD,LiCheb,0.8,0.764705882,5,22
0.543869989,3,LookHops,nLfxy,DD,LiCheb,0.8,0.789915966,5,33
0.543869989,3,LookHops,oSGne,DD,LiCheb,0.8,0.764705882,5,44
0.543869989,3,LookHops,Yggoe,DD,LiCheb,0.8,0.714285714,5,55
0.543869989,3,LookHops,JC8yO,DD,LiCheb,0.8,0.840336134,5,66
0.543869989,3,LookHops,x83TO,DD,LiCheb,0.8,0.731092437,5,77
0.543869989,3,LookHops,m1PqU,DD,LiCheb,0.8,0.781512605,5,88
0.543869989,3,LookHops,RF9gn,DD,LiCheb,0.8,0.731092437,5,99
0.543869989,3,LookHops,u5h1G,DD,LiCheb,0.8,0.756302521,5,110
0.543869989,3,LookHops,cVtbA,DD,LiCheb,0.9,0.705882353,5,11
0.543869989,3,LookHops,im65I,DD,LiCheb,0.9,0.781512605,5,22
0.543869989,3,LookHops,mNKse,DD,LiCheb,0.9,0.781512605,5,33
0.543869989,3,LookHops,BMxHK,DD,LiCheb,0.9,0.773109244,5,44
0.543869989,3,LookHops,bnA4t,DD,LiCheb,0.9,0.714285714,5,55
0.543869989,3,LookHops,IRiv7,DD,LiCheb,0.9,0.823529412,5,66
0.543869989,3,LookHops,uLKkS,DD,LiCheb,0.9,0.714285714,5,77
0.543869989,3,LookHops,lvH4e,DD,LiCheb,0.9,0.823529412,5,88
0.543869989,3,LookHops,ppP0E,DD,LiCheb,0.9,0.74789916,5,99
0.543869989,3,LookHops,Vw81R,DD,LiCheb,0.9,0.789915966,5,110
