K,pooling_nodes,pool,id,seed,dataset,conv,pooling_edges,num_layers,reward
2,0.426631657,LookHops,yrdzq,11,Mutagenicity,LiCheb,0.1,2,0.671264367816092
2,0.426631657,LookHops,AUF6w,22,Mutagenicity,LiCheb,0.1,2,0.6942528735632184
2,0.426631657,LookHops,U2Pye,33,Mutagenicity,LiCheb,0.1,2,0.7632183908045977
2,0.426631657,LookHops,ZAjZz,44,Mutagenicity,LiCheb,0.1,2,0.6804597701149425
2,0.426631657,LookHops,T2OLJ,55,Mutagenicity,LiCheb,0.1,2,0.8229885057471265
2,0.426631657,LookHops,YBPG4,66,Mutagenicity,LiCheb,0.1,2,0.7793103448275862
2,0.426631657,LookHops,bOPy7,77,Mutagenicity,LiCheb,0.1,2,0.6896551724137931
2,0.426631657,LookHops,DeFxX,88,Mutagenicity,LiCheb,0.1,2,0.7586206896551724
2,0.426631657,LookHops,UX2p1,99,Mutagenicity,LiCheb,0.1,2,0.6850574712643678
2,0.426631657,LookHops,Q4jtp,110,Mutagenicity,LiCheb,0.1,2,0.7609195402298851
2,0.426631657,LookHops,VMi0T,11,Mutagenicity,LiCheb,0.2,2,0.6804597701149425
2,0.426631657,LookHops,vlwfw,22,Mutagenicity,LiCheb,0.2,2,0.6988505747126437
2,0.426631657,LookHops,uHKl7,33,Mutagenicity,LiCheb,0.2,2,0.8068965517241379
2,0.426631657,LookHops,sln5u,44,Mutagenicity,LiCheb,0.2,2,0.6551724137931034
2,0.426631657,LookHops,kf3bc,55,Mutagenicity,LiCheb,0.2,2,0.8367816091954023
2,0.426631657,LookHops,kbbJ0,66,Mutagenicity,LiCheb,0.2,2,0.7701149425287356
2,0.426631657,LookHops,YzwNG,77,Mutagenicity,LiCheb,0.2,2,0.6896551724137931
2,0.426631657,LookHops,YULK2,88,Mutagenicity,LiCheb,0.2,2,0.7379310344827587
2,0.426631657,LookHops,iFyhj,99,Mutagenicity,LiCheb,0.2,2,0.6505747126436782
2,0.426631657,LookHops,hWckX,110,Mutagenicity,LiCheb,0.2,2,0.7632183908045977
2,0.426631657,LookHops,rpU0X,11,Mutagenicity,LiCheb,0.3,2,0.6896551724137931
2,0.426631657,LookHops,kEnDg,22,Mutagenicity,LiCheb,0.3,2,0.696551724137931
2,0.426631657,LookHops,maM2O,33,Mutagenicity,LiCheb,0.3,2,0.7908045977011494
2,0.426631657,LookHops,CrGal,44,Mutagenicity,LiCheb,0.3,2,0.6758620689655173
2,0.426631657,LookHops,WBSYO,55,Mutagenicity,LiCheb,0.3,2,0.8367816091954023
2,0.426631657,LookHops,ZgOML,66,Mutagenicity,LiCheb,0.3,2,0.7632183908045977
2,0.426631657,LookHops,jre93,77,Mutagenicity,LiCheb,0.3,2,0.6873563218390805
2,0.426631657,LookHops,TDjpx,88,Mutagenicity,LiCheb,0.3,2,0.7540229885057471
2,0.426631657,LookHops,fP9Xm,99,Mutagenicity,LiCheb,0.3,2,0.6689655172413793
2,0.426631657,LookHops,PZeAU,110,Mutagenicity,LiCheb,0.3,2,0.7609195402298851
2,0.426631657,LookHops,G76Wp,11,Mutagenicity,LiCheb,0.4,2,0.7103448275862069
2,0.426631657,LookHops,MJdcr,22,Mutagenicity,LiCheb,0.4,2,0.6804597701149425
2,0.426631657,LookHops,BRT14,33,Mutagenicity,LiCheb,0.4,2,0.8045977011494253
2,0.426631657,LookHops,el36W,44,Mutagenicity,LiCheb,0.4,2,0.6896551724137931
2,0.426631657,LookHops,gmunP,55,Mutagenicity,LiCheb,0.4,2,0.8344827586206897
2,0.426631657,LookHops,D6Oh1,66,Mutagenicity,LiCheb,0.4,2,0.7724137931034483
2,0.426631657,LookHops,rrFgS,77,Mutagenicity,LiCheb,0.4,2,0.6919540229885057
2,0.426631657,LookHops,WAzIN,88,Mutagenicity,LiCheb,0.4,2,0.7586206896551724
