K,pooling_nodes,pooling_edges,conv,reward,seed,num_layers,id,dataset,pool
3,0.632026586,0.1,LiCheb,0.7007299270072993,11,5,ZKfg9,NCI1,LookHops
3,0.632026586,0.1,LiCheb,0.7518248175182481,22,5,douX7,NCI1,LookHops
3,0.632026586,0.1,LiCheb,0.7299270072992701,33,5,l4d21,NCI1,LookHops
3,0.632026586,0.1,LiCheb,0.7834549878345499,44,5,luNpN,NCI1,LookHops
3,0.632026586,0.1,LiCheb,0.7615571776155717,55,5,HsnNk,NCI1,LookHops
3,0.632026586,0.1,LiCheb,0.754257907542579,66,5,vS5QH,NCI1,LookHops
3,0.632026586,0.1,LiCheb,0.7785888077858881,77,5,aiWCO,NCI1,LookHops
3,0.632026586,0.1,LiCheb,0.7664233576642335,88,5,CyHI5,NCI1,LookHops
3,0.632026586,0.1,LiCheb,0.7591240875912408,99,5,Z5KmG,NCI1,LookHops
3,0.632026586,0.1,LiCheb,0.7712895377128953,110,5,wkUfh,NCI1,LookHops
3,0.632026586,0.2,LiCheb,0.7347931873479319,11,5,QElXv,NCI1,LookHops
3,0.632026586,0.2,LiCheb,0.7761557177615572,22,5,jHgUg,NCI1,LookHops
3,0.632026586,0.2,LiCheb,0.7274939172749392,33,5,fcGIz,NCI1,LookHops
3,0.632026586,0.2,LiCheb,0.7688564476885644,44,5,pwOvI,NCI1,LookHops
3,0.632026586,0.2,LiCheb,0.7712895377128953,55,5,s2Efg,NCI1,LookHops
3,0.632026586,0.2,LiCheb,0.7396593673965937,66,5,Pzfum,NCI1,LookHops
3,0.632026586,0.2,LiCheb,0.7664233576642335,77,5,ZyEQT,NCI1,LookHops
3,0.632026586,0.2,LiCheb,0.7591240875912408,88,5,uQBtJ,NCI1,LookHops
3,0.632026586,0.2,LiCheb,0.781021897810219,99,5,gDWEu,NCI1,LookHops
3,0.632026586,0.2,LiCheb,0.7737226277372263,110,5,Sd56f,NCI1,LookHops
3,0.632026586,0.3,LiCheb,0.7299270072992701,11,5,T8dAa,NCI1,LookHops
3,0.632026586,0.3,LiCheb,0.7737226277372263,22,5,abf5L,NCI1,LookHops
3,0.632026586,0.3,LiCheb,0.7299270072992701,33,5,K7EeI,NCI1,LookHops
3,0.632026586,0.3,LiCheb,0.7737226277372263,44,5,TyzmS,NCI1,LookHops
3,0.632026586,0.3,LiCheb,0.7907542579075426,55,5,OR6iW,NCI1,LookHops
