reward,pooling_edges,conv,dataset,id,K,num_layers,pool,pooling_nodes,seed,,
0.765700483,0.1,LiCheb,NCI109,dLGTN,3,4,LookHops,0.841586839,11,,0.760628019
0.717391304,0.1,LiCheb,NCI109,qpwp3,3,4,LookHops,0.841586839,22,,0.758695652
0.743961353,0.1,LiCheb,NCI109,ObfQv,3,4,LookHops,0.841586839,33,,0.753381643
0.763285024,0.1,LiCheb,NCI109,ReuD9,3,4,LookHops,0.841586839,44,,0.769806763
0.768115942,0.1,LiCheb,NCI109,ZUdAC,3,4,LookHops,0.841586839,55,,0.759178744
0.792270531,0.1,LiCheb,NCI109,RIDDw,3,4,LookHops,0.841586839,66,,0.764975845
0.736714976,0.1,LiCheb,NCI109,NM3GA,3,4,LookHops,0.841586839,77,,0.759903382
0.780193237,0.1,LiCheb,NCI109,mlAeX,3,4,LookHops,0.841586839,88,,0.761111111
0.775362319,0.1,LiCheb,NCI109,CtSnT,3,4,LookHops,0.841586839,99,,0.757246377
0.763285024,0.1,LiCheb,NCI109,Po3Xr,3,4,LookHops,0.841586839,110,,
0.746376812,0.2,LiCheb,NCI109,Im4VQ,3,4,LookHops,0.841586839,11,,
0.748792271,0.2,LiCheb,NCI109,I1n1p,3,4,LookHops,0.841586839,22,,
0.736714976,0.2,LiCheb,NCI109,CXtse,3,4,LookHops,0.841586839,33,,
0.753623188,0.2,LiCheb,NCI109,JxFmd,3,4,LookHops,0.841586839,44,,
0.765700483,0.2,LiCheb,NCI109,YaTwu,3,4,LookHops,0.841586839,55,,
0.763285024,0.2,LiCheb,NCI109,yCgVL,3,4,LookHops,0.841586839,66,,
0.739130435,0.2,LiCheb,NCI109,c6Bcf,3,4,LookHops,0.841586839,77,,
0.775362319,0.2,LiCheb,NCI109,UAoit,3,4,LookHops,0.841586839,88,,
0.801932367,0.2,LiCheb,NCI109,ifxEB,3,4,LookHops,0.841586839,99,,
0.756038647,0.2,LiCheb,NCI109,kBZWH,3,4,LookHops,0.841586839,110,,
0.698067633,0.3,LiCheb,NCI109,GF7wB,3,4,LookHops,0.841586839,11,,
0.736714976,0.3,LiCheb,NCI109,soxK8,3,4,LookHops,0.841586839,22,,
0.751207729,0.3,LiCheb,NCI109,TQgVq,3,4,LookHops,0.841586839,33,,
0.79468599,0.3,LiCheb,NCI109,go1wc,3,4,LookHops,0.841586839,44,,
0.748792271,0.3,LiCheb,NCI109,TStRI,3,4,LookHops,0.841586839,55,,
0.789855072,0.3,LiCheb,NCI109,GVEA6,3,4,LookHops,0.841586839,66,,
0.729468599,0.3,LiCheb,NCI109,K5VQD,3,4,LookHops,0.841586839,77,,
0.780193237,0.3,LiCheb,NCI109,NdqIo,3,4,LookHops,0.841586839,88,,
0.780193237,0.3,LiCheb,NCI109,c4fap,3,4,LookHops,0.841586839,99,,
0.724637681,0.3,LiCheb,NCI109,jDdue,3,4,LookHops,0.841586839,110,,
0.751207729,0.4,LiCheb,NCI109,RiOZv,3,4,LookHops,0.841586839,11,,
0.756038647,0.4,LiCheb,NCI109,lq94x,3,4,LookHops,0.841586839,22,,
0.777777778,0.4,LiCheb,NCI109,KHFuX,3,4,LookHops,0.841586839,33,,
0.758454106,0.4,LiCheb,NCI109,iLKP4,3,4,LookHops,0.841586839,44,,
0.777777778,0.4,LiCheb,NCI109,UoR8z,3,4,LookHops,0.841586839,55,,
0.756038647,0.4,LiCheb,NCI109,u0jtr,3,4,LookHops,0.841586839,66,,
0.765700483,0.4,LiCheb,NCI109,nWgpw,3,4,LookHops,0.841586839,77,,
0.799516908,0.4,LiCheb,NCI109,HEauG,3,4,LookHops,0.841586839,88,,
0.785024155,0.4,LiCheb,NCI109,sm134,3,4,LookHops,0.841586839,99,,
0.770531401,0.4,LiCheb,NCI109,NLvOZ,3,4,LookHops,0.841586839,110,,
0.763285024,0.5,LiCheb,NCI109,LSUGa,3,4,LookHops,0.841586839,11,,
0.743961353,0.5,LiCheb,NCI109,Mqu0b,3,4,LookHops,0.841586839,22,,
0.770531401,0.5,LiCheb,NCI109,AbvYn,3,4,LookHops,0.841586839,33,,
0.753623188,0.5,LiCheb,NCI109,kMuyj,3,4,LookHops,0.841586839,44,,
0.763285024,0.5,LiCheb,NCI109,LWFmy,3,4,LookHops,0.841586839,55,,
0.775362319,0.5,LiCheb,NCI109,uOEKL,3,4,LookHops,0.841586839,66,,
0.741545894,0.5,LiCheb,NCI109,kOkis,3,4,LookHops,0.841586839,77,,
0.768115942,0.5,LiCheb,NCI109,bkp3p,3,4,LookHops,0.841586839,88,,
