pooling_edges,pool,decoupled,dataset,conv,pooling_nodes,seed,K,id,reward,num_layers
0.6,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,11,3,HU98A,0.593103448,5
0.6,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,22,3,OHi0B,0.659770115,5
0.6,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,33,3,lnpzH,0.602298851,5
0.6,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,44,3,gWVTg,0.609195402,5
0.6,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,55,3,dzEVJ,0.572413793,5
0.6,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,66,3,Df47n,0.602298851,5
0.6,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,77,3,uEfO2,0.611494253,5
0.6,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,88,3,XizzJ,0.645977011,5
0.6,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,99,3,yAmSr,0.563218391,5
0.6,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,110,3,fCm5W,0.625287356,5
0.7,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,11,3,mOLTC,0.6,5
0.7,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,22,3,emHMT,0.668965517,5
0.7,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,33,3,PgFhw,0.606896552,5
0.7,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,44,3,FRVEb,0.611494253,5
0.7,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,55,3,Th10E,0.572413793,5
0.7,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,66,3,JmHmW,0.597701149,5
0.7,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,77,3,Z4gGm,0.643678161,5
0.7,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,88,3,sxZeZ,0.64137931,5
0.7,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,99,3,cd3ne,0.551724138,5
0.7,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,110,3,FA6ZP,0.616091954,5
0.8,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,11,3,g6E4I,0.613793103,5
0.8,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,22,3,Xxqgp,0.652873563,5
0.8,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,33,3,ycBZc,0.609195402,5
0.8,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,44,3,UoDJM,0.618390805,5
0.8,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,55,3,M0wiq,0.572413793,5
0.8,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,66,3,N4Xvs,0.613793103,5
0.8,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,77,3,HulKs,0.611494253,5
0.8,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,88,3,y8tPP,0.63908046,5
0.8,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,99,3,yXKiK,0.55862069,5
0.8,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,110,3,wvCTJ,0.63908046,5
0.9,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,11,3,QeWC3,0.634482759,5
0.9,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,22,3,L4ww8,0.629885057,5
0.9,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,33,3,GDN3K,0.618390805,5
0.9,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,44,3,xZ872,0.636781609,5
0.9,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,55,3,d57RS,0.572413793,5
0.9,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,66,3,C1eYZ,0.6,5
0.9,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,77,3,a74ll,0.632183908,5
0.9,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,88,3,HsFmv,0.636781609,5
0.9,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,99,3,D3L7m,0.556321839,5
0.9,TopkPool,TRUE,FRANKENSTEIN,LiCheb,0.9,110,3,aTbjU,0.590804598,5
0.6,TopkPool,TRUE,Mutagenicity,LiCheb,0.9,22,3,CkfnY,0.816091954,5
0.6,TopkPool,TRUE,Mutagenicity,LiCheb,0.9,33,3,unnVC,0.774712644,5
