pooling_nodes,num_layers,K,pool,pooling_edges,id,dataset,conv,reward,seed
0.543869989,5,3,ASAPPool,1,YZjdf,DD,LiCheb,0.6974789915966386,11
0.543869989,5,3,ASAPPool,1,kpuoX,DD,LiCheb,0.8319327731092437,22
0.543869989,5,3,ASAPPool,1,HHNho,DD,LiCheb,0.7394957983193278,55
0.543869989,5,3,ASAPPool,1,Xhs9w,DD,LiCheb,0.8235294117647058,66
0.543869989,5,3,ASAPPool,1,ISRip,DD,LiCheb,0.7394957983193278,77
0.543869989,5,3,ASAPPool,1,qMErB,DD,LiCheb,0.8235294117647058,88
0.543869989,5,3,ASAPPool,1,V3bVU,DD,LiCheb,0.7815126050420168,99
0.543869989,5,3,ASAPPool,1,KhTkP,DD,LiCheb,0.8067226890756303,110
0.543869989,5,3,ASAPPool,1,SLxAX,DD,LiCheb,0.7899159663865546,33
0.543869989,5,3,ASAPPool,1,ZeMU5,DD,LiCheb,0.773109243697479,44
