pool,K,pooling_edges,num_layers,pooling_nodes,id,conv,seed,reward,dataset
TopkPool,4,1,3,0.881023822,llMFN,LiCheb,11,0.5908045977011495,FRANKENSTEIN
TopkPool,4,1,3,0.881023822,TvTQ2,LiCheb,22,0.6137931034482759,FRANKENSTEIN
TopkPool,4,1,3,0.881023822,Sfwer,LiCheb,33,0.6,FRANKENSTEIN
TopkPool,4,1,3,0.881023822,r2sz3,LiCheb,44,0.6183908045977011,FRANKENSTEIN
TopkPool,4,1,3,0.881023822,visfb,LiCheb,55,0.6252873563218391,FRANKENSTEIN
TopkPool,4,1,3,0.881023822,dZGoq,LiCheb,66,0.6482758620689655,FRANKENSTEIN
TopkPool,4,1,3,0.881023822,xFGLi,LiCheb,77,0.671264367816092,FRANKENSTEIN
TopkPool,4,1,3,0.881023822,CDwDq,LiCheb,88,0.6298850574712643,FRANKENSTEIN
TopkPool,4,1,3,0.881023822,B939U,LiCheb,99,0.6482758620689655,FRANKENSTEIN
TopkPool,4,1,3,0.881023822,sFRCK,LiCheb,110,0.6413793103448275,FRANKENSTEIN
SAGPool,4,1,3,0.881023822,ZiUxt,LiCheb,11,0.6505747126436782,FRANKENSTEIN
SAGPool,4,1,3,0.881023822,c02Yl,LiCheb,22,0.6482758620689655,FRANKENSTEIN
SAGPool,4,1,3,0.881023822,xOTU2,LiCheb,33,0.664367816091954,FRANKENSTEIN
SAGPool,4,1,3,0.881023822,YzrxP,LiCheb,44,0.6229885057471264,FRANKENSTEIN
SAGPool,4,1,3,0.881023822,TL0zg,LiCheb,55,0.6482758620689655,FRANKENSTEIN
SAGPool,4,1,3,0.881023822,vp5of,LiCheb,66,0.6298850574712643,FRANKENSTEIN
SAGPool,4,1,3,0.881023822,YhA6g,LiCheb,77,0.6735632183908046,FRANKENSTEIN
SAGPool,4,1,3,0.881023822,Wa8Dr,LiCheb,88,0.6804597701149425,FRANKENSTEIN
SAGPool,4,1,3,0.881023822,ptG3M,LiCheb,99,0.632183908045977,FRANKENSTEIN
SAGPool,4,1,3,0.881023822,JEL3s,LiCheb,110,0.6620689655172414,FRANKENSTEIN
EdgePool,4,1,3,0.881023822,KVt6W,LiCheb,11,0.632183908045977,FRANKENSTEIN
EdgePool,4,1,3,0.881023822,Z0tAC,LiCheb,22,0.6459770114942529,FRANKENSTEIN
EdgePool,4,1,3,0.881023822,c6TUA,LiCheb,33,0.671264367816092,FRANKENSTEIN
EdgePool,4,1,3,0.881023822,QbynJ,LiCheb,44,0.639080459770115,FRANKENSTEIN
EdgePool,4,1,3,0.881023822,MCmQJ,LiCheb,55,0.6275862068965518,FRANKENSTEIN
EdgePool,4,1,3,0.881023822,n6ImS,LiCheb,66,0.6620689655172414,FRANKENSTEIN
EdgePool,4,1,3,0.881023822,I5WZl,LiCheb,77,0.6551724137931034,FRANKENSTEIN
EdgePool,4,1,3,0.881023822,ng8Kh,LiCheb,88,0.6666666666666666,FRANKENSTEIN
EdgePool,4,1,3,0.881023822,QLR2f,LiCheb,99,0.6505747126436782,FRANKENSTEIN
EdgePool,4,1,3,0.881023822,Dh0kp,LiCheb,110,0.6988505747126437,FRANKENSTEIN
ASAPPool,4,1,3,0.881023822,y9hFP,LiCheb,11,0.6528735632183909,FRANKENSTEIN
ASAPPool,4,1,3,0.881023822,D0fII,LiCheb,22,0.632183908045977,FRANKENSTEIN
ASAPPool,4,1,3,0.881023822,bOOPz,LiCheb,33,0.6252873563218391,FRANKENSTEIN
ASAPPool,4,1,3,0.881023822,PZUwU,LiCheb,44,0.6137931034482759,FRANKENSTEIN
ASAPPool,4,1,3,0.881023822,rcLZO,LiCheb,55,0.6367816091954023,FRANKENSTEIN
ASAPPool,4,1,3,0.881023822,W8umV,LiCheb,66,0.6505747126436782,FRANKENSTEIN
ASAPPool,4,1,3,0.881023822,bBsew,LiCheb,77,0.6574712643678161,FRANKENSTEIN
ASAPPool,4,1,3,0.881023822,cXVfy,LiCheb,88,0.6551724137931034,FRANKENSTEIN
ASAPPool,4,1,3,0.881023822,JJTFz,LiCheb,99,0.632183908045977,FRANKENSTEIN
ASAPPool,4,1,3,0.881023822,Q1J7o,LiCheb,110,0.6896551724137931,FRANKENSTEIN
LookHops,4,1,3,0.881023822,qYkJd,LiCheb,11,0.5862068965517241,FRANKENSTEIN
LookHops,4,1,3,0.881023822,gTS4I,LiCheb,22,0.671264367816092,FRANKENSTEIN
LookHops,4,1,3,0.881023822,SEq3I,LiCheb,33,0.6344827586206897,FRANKENSTEIN
LookHops,4,1,3,0.881023822,qXRVr,LiCheb,44,0.6482758620689655,FRANKENSTEIN
LookHops,4,1,3,0.881023822,sKvrT,LiCheb,55,0.6666666666666666,FRANKENSTEIN
LookHops,4,1,3,0.881023822,eYQMv,LiCheb,66,0.6666666666666666,FRANKENSTEIN
LookHops,4,1,3,0.881023822,lOxWd,LiCheb,77,0.6137931034482759,FRANKENSTEIN
LookHops,4,1,3,0.881023822,uwIav,LiCheb,88,0.6758620689655173,FRANKENSTEIN
LookHops,4,1,3,0.881023822,FQ8Ad,LiCheb,99,0.6551724137931034,FRANKENSTEIN
LookHops,4,1,3,0.881023822,Y8rFr,LiCheb,110,0.6551724137931034,FRANKENSTEIN
