conv,seed,pooling_edges,dataset,pooling_nodes,pool,num_layers,reward,K,id
LiCheb,11,1,Mutagenicity,0.426631657,TopkPool,2,0.6574712643678161,2,fhst1
LiCheb,22,1,Mutagenicity,0.426631657,TopkPool,2,0.7333333333333333,2,s8Fvi
LiCheb,33,1,Mutagenicity,0.426631657,TopkPool,2,0.7724137931034483,2,seaNH
LiCheb,44,1,Mutagenicity,0.426631657,TopkPool,2,0.8022988505747126,2,vpAEn
LiCheb,55,1,Mutagenicity,0.426631657,TopkPool,2,0.7793103448275862,2,uZ45e
LiCheb,66,1,Mutagenicity,0.426631657,TopkPool,2,0.7701149425287356,2,GYsv9
LiCheb,77,1,Mutagenicity,0.426631657,TopkPool,2,0.8091954022988506,2,l5OLM
LiCheb,88,1,Mutagenicity,0.426631657,TopkPool,2,0.7517241379310344,2,rxcdb
LiCheb,99,1,Mutagenicity,0.426631657,TopkPool,2,0.7402298850574712,2,f9NmU
LiCheb,110,1,Mutagenicity,0.426631657,TopkPool,2,0.8,2,agB4L
LiCheb,11,1,Mutagenicity,0.426631657,SAGPool,2,0.7793103448275862,2,NlqQd
LiCheb,22,1,Mutagenicity,0.426631657,SAGPool,2,0.8045977011494253,2,RMMgw
LiCheb,33,1,Mutagenicity,0.426631657,SAGPool,2,0.6896551724137931,2,FmE50
LiCheb,44,1,Mutagenicity,0.426631657,SAGPool,2,0.7724137931034483,2,FMTpT
LiCheb,55,1,Mutagenicity,0.426631657,SAGPool,2,0.7517241379310344,2,Ox6iq
LiCheb,66,1,Mutagenicity,0.426631657,SAGPool,2,0.7057471264367816,2,c4b4F
LiCheb,77,1,Mutagenicity,0.426631657,SAGPool,2,0.8114942528735632,2,xNVws
LiCheb,88,1,Mutagenicity,0.426631657,SAGPool,2,0.7586206896551724,2,c2eP6
LiCheb,99,1,Mutagenicity,0.426631657,SAGPool,2,0.7908045977011494,2,yR1a1
LiCheb,110,1,Mutagenicity,0.426631657,SAGPool,2,0.7149425287356321,2,L4ubq
LiCheb,11,1,Mutagenicity,0.426631657,EdgePool,2,0.8206896551724138,2,kilto
LiCheb,22,1,Mutagenicity,0.426631657,EdgePool,2,0.832183908045977,2,FAT7A
LiCheb,33,1,Mutagenicity,0.426631657,EdgePool,2,0.7839080459770115,2,YRCRo
LiCheb,44,1,Mutagenicity,0.426631657,EdgePool,2,0.8413793103448276,2,DiA8N
LiCheb,55,1,Mutagenicity,0.426631657,EdgePool,2,0.8137931034482758,2,AKzQP
LiCheb,66,1,Mutagenicity,0.426631657,EdgePool,2,0.7862068965517242,2,Ddabl
LiCheb,77,1,Mutagenicity,0.426631657,EdgePool,2,0.8206896551724138,2,LzoPo
LiCheb,88,1,Mutagenicity,0.426631657,EdgePool,2,0.7724137931034483,2,wgbqm
LiCheb,99,1,Mutagenicity,0.426631657,EdgePool,2,0.8137931034482758,2,JiXAD
LiCheb,110,1,Mutagenicity,0.426631657,EdgePool,2,0.7931034482758621,2,YULCa
LiCheb,11,1,Mutagenicity,0.426631657,ASAPPool,2,0.7816091954022989,2,PpUXz
LiCheb,22,1,Mutagenicity,0.426631657,ASAPPool,2,0.8160919540229885,2,gTC4H
LiCheb,33,1,Mutagenicity,0.426631657,ASAPPool,2,0.7586206896551724,2,HwDBo
LiCheb,44,1,Mutagenicity,0.426631657,ASAPPool,2,0.8551724137931035,2,evJ4M
LiCheb,55,1,Mutagenicity,0.426631657,ASAPPool,2,0.7839080459770115,2,ntwVz
LiCheb,66,1,Mutagenicity,0.426631657,ASAPPool,2,0.7724137931034483,2,EM7pv
LiCheb,77,1,Mutagenicity,0.426631657,ASAPPool,2,0.8114942528735632,2,BXH8W
LiCheb,88,1,Mutagenicity,0.426631657,ASAPPool,2,0.7448275862068966,2,LQvym
LiCheb,99,1,Mutagenicity,0.426631657,ASAPPool,2,0.7977011494252874,2,cPLvb
LiCheb,110,1,Mutagenicity,0.426631657,ASAPPool,2,0.7885057471264367,2,nhQO5
LiCheb,11,1,Mutagenicity,0.426631657,LookHops,2,0.6896551724137931,2,uBcje
LiCheb,22,1,Mutagenicity,0.426631657,LookHops,2,0.6896551724137931,2,G3iUB
LiCheb,33,1,Mutagenicity,0.426631657,LookHops,2,0.8091954022988506,2,gpVG1
LiCheb,44,1,Mutagenicity,0.426631657,LookHops,2,0.6827586206896552,2,qH2N2
LiCheb,55,1,Mutagenicity,0.426631657,LookHops,2,0.8229885057471265,2,ejiKL
LiCheb,66,1,Mutagenicity,0.426631657,LookHops,2,0.8022988505747126,2,YaPtC
LiCheb,77,1,Mutagenicity,0.426631657,LookHops,2,0.696551724137931,2,u4U5G
LiCheb,88,1,Mutagenicity,0.426631657,LookHops,2,0.7310344827586207,2,QfRmD
LiCheb,99,1,Mutagenicity,0.426631657,LookHops,2,0.6873563218390805,2,rrc94
LiCheb,110,1,Mutagenicity,0.426631657,LookHops,2,0.7540229885057471,2,i6tRI
