pool,reward,seed,K,id,pooling_edges,conv,pooling_nodes,dataset,num_layers
TopkPool,0.7420924574209246,11,3,Cg7Hp,1,LiCheb,0.632026586,NCI1,5
TopkPool,0.7688564476885644,22,3,k9a2u,1,LiCheb,0.632026586,NCI1,5
TopkPool,0.7737226277372263,33,3,DNEpP,1,LiCheb,0.632026586,NCI1,5
TopkPool,0.7591240875912408,44,3,fWhX7,1,LiCheb,0.632026586,NCI1,5
TopkPool,0.7347931873479319,55,3,a8rfp,1,LiCheb,0.632026586,NCI1,5
TopkPool,0.7274939172749392,66,3,ohPKO,1,LiCheb,0.632026586,NCI1,5
TopkPool,0.7712895377128953,77,3,zNEei,1,LiCheb,0.632026586,NCI1,5
TopkPool,0.7664233576642335,88,3,ZvjEd,1,LiCheb,0.632026586,NCI1,5
TopkPool,0.7712895377128953,99,3,w0oV2,1,LiCheb,0.632026586,NCI1,5
TopkPool,0.7420924574209246,110,3,uNGjZ,1,LiCheb,0.632026586,NCI1,5
SAGPool,0.754257907542579,11,3,PbgFp,1,LiCheb,0.632026586,NCI1,5
SAGPool,0.48661800486618007,22,3,W7MrE,1,LiCheb,0.632026586,NCI1,5
SAGPool,0.732360097323601,33,3,CdakG,1,LiCheb,0.632026586,NCI1,5
SAGPool,0.5304136253041363,44,3,k3haw,1,LiCheb,0.632026586,NCI1,5
SAGPool,0.5474452554744526,55,3,vJblQ,1,LiCheb,0.632026586,NCI1,5
SAGPool,0.7518248175182481,66,3,ZRVRy,1,LiCheb,0.632026586,NCI1,5
SAGPool,0.5109489051094891,77,3,wRqLA,1,LiCheb,0.632026586,NCI1,5
SAGPool,0.7469586374695864,88,3,RQsjo,1,LiCheb,0.632026586,NCI1,5
SAGPool,0.7785888077858881,99,3,lvzl1,1,LiCheb,0.632026586,NCI1,5
SAGPool,0.7566909975669099,110,3,Q3BG7,1,LiCheb,0.632026586,NCI1,5
EdgePool,0.7445255474452555,11,3,SGBSl,1,LiCheb,0.632026586,NCI1,5
EdgePool,0.7712895377128953,22,3,UhCsL,1,LiCheb,0.632026586,NCI1,5
EdgePool,0.7712895377128953,33,3,wfCRr,1,LiCheb,0.632026586,NCI1,5
EdgePool,0.7445255474452555,44,3,FEXPD,1,LiCheb,0.632026586,NCI1,5
EdgePool,0.8029197080291971,55,3,JOUmX,1,LiCheb,0.632026586,NCI1,5
EdgePool,0.7907542579075426,66,3,iCKIs,1,LiCheb,0.632026586,NCI1,5
EdgePool,0.7761557177615572,77,3,L706b,1,LiCheb,0.632026586,NCI1,5
EdgePool,0.7980535279805353,88,3,xEtMo,1,LiCheb,0.632026586,NCI1,5
EdgePool,0.7566909975669099,99,3,oXnFN,1,LiCheb,0.632026586,NCI1,5
EdgePool,0.7615571776155717,110,3,SRhVF,1,LiCheb,0.632026586,NCI1,5
ASAPPool,0.7591240875912408,11,3,fnVxt,1,LiCheb,0.632026586,NCI1,5
ASAPPool,0.7615571776155717,33,3,KDPPb,1,LiCheb,0.632026586,NCI1,5
ASAPPool,0.7493917274939172,44,3,vMTYz,1,LiCheb,0.632026586,NCI1,5
ASAPPool,0.805352798053528,55,3,pL1SB,1,LiCheb,0.632026586,NCI1,5
ASAPPool,0.7834549878345499,66,3,Gw8ob,1,LiCheb,0.632026586,NCI1,5
ASAPPool,0.7664233576642335,88,3,i35jP,1,LiCheb,0.632026586,NCI1,5
LookHops,0.7104622871046229,11,3,QLIiI,1,LiCheb,0.632026586,NCI1,5
LookHops,0.7639902676399026,22,3,GX6PJ,1,LiCheb,0.632026586,NCI1,5
LookHops,0.7566909975669099,33,3,NB0CS,1,LiCheb,0.632026586,NCI1,5
LookHops,0.7566909975669099,55,3,N9zDe,1,LiCheb,0.632026586,NCI1,5
LookHops,0.7591240875912408,66,3,bQ8PJ,1,LiCheb,0.632026586,NCI1,5
LookHops,0.754257907542579,88,3,oWVcQ,1,LiCheb,0.632026586,NCI1,5
LookHops,0.7250608272506083,99,3,E4IKw,1,LiCheb,0.632026586,NCI1,5
LookHops,0.7761557177615572,110,3,srTfe,1,LiCheb,0.632026586,NCI1,5
LookHops,0.7615571776155717,44,3,bhbfh,1,LiCheb,0.632026586,NCI1,5
LookHops,0.7493917274939172,77,3,Gipco,1,LiCheb,0.632026586,NCI1,5
ASAPPool,0.7445255474452555,77,3,qzlTa,1,LiCheb,0.632026586,NCI1,5
ASAPPool,0.8004866180048662,99,3,d2dDa,1,LiCheb,0.632026586,NCI1,5
ASAPPool,0.7737226277372263,110,3,ddc4a,1,LiCheb,0.632026586,NCI1,5
ASAPPool,0.7712895377128953,22,3,g7dDu,1,LiCheb,0.632026586,NCI1,5
