num_layers,pool,pooling_nodes,pooling_edges,seed,dataset,reward,id,conv,K
5,TopkPool,0.271521829,1,11,PROTEINS,0.6785714285714286,Bj4zT,LiCheb,3
5,TopkPool,0.271521829,1,22,PROTEINS,0.7142857142857143,zaZtI,LiCheb,3
5,TopkPool,0.271521829,1,33,PROTEINS,0.7589285714285714,BQM0c,LiCheb,3
5,TopkPool,0.271521829,1,44,PROTEINS,0.5892857142857143,b7LQu,LiCheb,3
5,TopkPool,0.271521829,1,55,PROTEINS,0.75,mt1yR,LiCheb,3
5,TopkPool,0.271521829,1,66,PROTEINS,0.8214285714285714,Z3gz7,LiCheb,3
5,TopkPool,0.271521829,1,77,PROTEINS,0.8125,trapn,LiCheb,3
5,TopkPool,0.271521829,1,88,PROTEINS,0.75,Nayfg,LiCheb,3
5,TopkPool,0.271521829,1,99,PROTEINS,0.7053571428571429,vbyGz,LiCheb,3
5,TopkPool,0.271521829,1,110,PROTEINS,0.6964285714285714,X8YlW,LiCheb,3
5,SAGPool,0.271521829,1,11,PROTEINS,0.7678571428571429,v0egx,LiCheb,3
5,SAGPool,0.271521829,1,22,PROTEINS,0.7053571428571429,zyq7q,LiCheb,3
5,SAGPool,0.271521829,1,33,PROTEINS,0.7589285714285714,m4Skj,LiCheb,3
5,SAGPool,0.271521829,1,44,PROTEINS,0.7053571428571429,gFZ4k,LiCheb,3
5,SAGPool,0.271521829,1,55,PROTEINS,0.7232142857142857,INAsA,LiCheb,3
5,SAGPool,0.271521829,1,66,PROTEINS,0.7589285714285714,y519o,LiCheb,3
5,SAGPool,0.271521829,1,77,PROTEINS,0.5357142857142857,BgY3G,LiCheb,3
5,SAGPool,0.271521829,1,88,PROTEINS,0.7321428571428571,MK2r0,LiCheb,3
5,SAGPool,0.271521829,1,99,PROTEINS,0.7321428571428571,Vk6Ji,LiCheb,3
5,SAGPool,0.271521829,1,110,PROTEINS,0.6339285714285714,R7QDO,LiCheb,3
5,EdgePool,0.271521829,1,11,PROTEINS,0.7410714285714286,NlcbQ,LiCheb,3
5,EdgePool,0.271521829,1,22,PROTEINS,0.6696428571428571,wB4y3,LiCheb,3
5,EdgePool,0.271521829,1,33,PROTEINS,0.7142857142857143,ZUUSy,LiCheb,3
5,EdgePool,0.271521829,1,44,PROTEINS,0.7321428571428571,toiLF,LiCheb,3
5,EdgePool,0.271521829,1,55,PROTEINS,0.7678571428571429,Ikgzi,LiCheb,3
5,EdgePool,0.271521829,1,66,PROTEINS,0.8214285714285714,d7rBP,LiCheb,3
5,EdgePool,0.271521829,1,77,PROTEINS,0.75,xuy2Z,LiCheb,3
5,EdgePool,0.271521829,1,88,PROTEINS,0.7767857142857143,ao5ZJ,LiCheb,3
5,EdgePool,0.271521829,1,99,PROTEINS,0.7053571428571429,ulZQB,LiCheb,3
5,EdgePool,0.271521829,1,110,PROTEINS,0.7410714285714286,iG9cU,LiCheb,3
5,ASAPPool,0.271521829,1,11,PROTEINS,0.7857142857142857,IqO4r,LiCheb,3
5,ASAPPool,0.271521829,1,22,PROTEINS,0.7232142857142857,gxOqR,LiCheb,3
5,ASAPPool,0.271521829,1,33,PROTEINS,0.7232142857142857,zB33q,LiCheb,3
5,ASAPPool,0.271521829,1,44,PROTEINS,0.6875,eNM61,LiCheb,3
5,ASAPPool,0.271521829,1,55,PROTEINS,0.7321428571428571,xAg8r,LiCheb,3
5,ASAPPool,0.271521829,1,66,PROTEINS,0.8125,vFzjj,LiCheb,3
5,ASAPPool,0.271521829,1,77,PROTEINS,0.7767857142857143,WjEjN,LiCheb,3
5,ASAPPool,0.271521829,1,88,PROTEINS,0.7053571428571429,xufxn,LiCheb,3
5,ASAPPool,0.271521829,1,99,PROTEINS,0.6607142857142857,Q3URo,LiCheb,3
5,ASAPPool,0.271521829,1,110,PROTEINS,0.6785714285714286,NfVYO,LiCheb,3
5,LookHops,0.271521829,1,11,PROTEINS,0.7589285714285714,AppJL,LiCheb,3
5,LookHops,0.271521829,1,22,PROTEINS,0.7410714285714286,Pa4up,LiCheb,3
5,LookHops,0.271521829,1,33,PROTEINS,0.7232142857142857,EBVjF,LiCheb,3
5,LookHops,0.271521829,1,44,PROTEINS,0.6964285714285714,KXnSz,LiCheb,3
5,LookHops,0.271521829,1,55,PROTEINS,0.7232142857142857,HAeV9,LiCheb,3
5,LookHops,0.271521829,1,66,PROTEINS,0.7946428571428571,O3QAx,LiCheb,3
5,LookHops,0.271521829,1,77,PROTEINS,0.8125,mLxJ0,LiCheb,3
5,LookHops,0.271521829,1,88,PROTEINS,0.6964285714285714,h3m3N,LiCheb,3
5,LookHops,0.271521829,1,99,PROTEINS,0.7142857142857143,eO4Gx,LiCheb,3
5,LookHops,0.271521829,1,110,PROTEINS,0.7142857142857143,SaY8p,LiCheb,3
