pooling_edges,K,decoupled,id,num_layers,pooling_nodes,dataset,seed,reward,conv,pool
0.8,3,TRUE,iinQr,5,0.6,PROTEINS,22,0.705357143,LiCheb,ASAPPool
0.8,3,TRUE,SHOP0,5,0.6,PROTEINS,33,0.723214286,LiCheb,ASAPPool
0.8,3,TRUE,NTqBa,5,0.6,PROTEINS,44,0.767857143,LiCheb,ASAPPool
0.8,3,TRUE,mPuCD,5,0.6,PROTEINS,55,0.785714286,LiCheb,ASAPPool
0.8,3,TRUE,dffyp,5,0.6,PROTEINS,88,0.75,LiCheb,ASAPPool
0.8,3,TRUE,oEsEH,5,0.6,PROTEINS,99,0.741071429,LiCheb,ASAPPool
0.8,3,TRUE,oqEIA,5,0.6,PROTEINS,110,0.678571429,LiCheb,ASAPPool
0.9,3,TRUE,HlUwV,5,0.9,NCI1,22,0.768856448,LiCheb,ASAPPool
0.9,3,TRUE,iRik5,5,0.9,NCI1,33,0.776155718,LiCheb,ASAPPool
0.9,3,TRUE,asEv8,5,0.9,NCI1,66,0.790754258,LiCheb,ASAPPool
0.9,3,TRUE,wBArs,5,0.9,NCI1,77,0.778588808,LiCheb,ASAPPool
0.9,3,TRUE,ShMVp,5,0.9,NCI1,88,0.773722628,LiCheb,ASAPPool
0.9,3,TRUE,rb8X8,5,0.9,NCI1,99,0.759124088,LiCheb,ASAPPool
0.4,3,TRUE,EbnqJ,5,0.9,NCI109,11,0.751207729,LiCheb,ASAPPool
0.4,3,TRUE,pjkdj,5,0.9,NCI109,22,0.734299517,LiCheb,ASAPPool
0.4,3,TRUE,ilyyU,5,0.9,NCI109,33,0.751207729,LiCheb,ASAPPool
0.4,3,TRUE,I2E8r,5,0.9,NCI109,44,0.79468599,LiCheb,ASAPPool
0.4,3,TRUE,EZMTa,5,0.9,NCI109,77,0.756038647,LiCheb,ASAPPool
0.4,3,TRUE,joEdp,5,0.9,NCI109,88,0.789855072,LiCheb,ASAPPool
0.4,3,TRUE,Iryrf,5,0.9,NCI109,110,0.770531401,LiCheb,ASAPPool
0.8,3,TRUE,xYJ7J,5,0.9,Mutagenicity,11,0.809195402,LiCheb,ASAPPool
0.8,3,TRUE,YtmpB,5,0.9,Mutagenicity,44,0.83908046,LiCheb,ASAPPool
0.8,3,TRUE,mNGkp,5,0.9,Mutagenicity,66,0.797701149,LiCheb,ASAPPool
0.8,3,TRUE,FQ31Y,5,0.9,Mutagenicity,77,0.816091954,LiCheb,ASAPPool
0.8,3,TRUE,Y6ytF,5,0.9,Mutagenicity,88,0.772413793,LiCheb,ASAPPool
0.4,3,TRUE,zXz0U,5,0.8,ENZYMES,11,0.416666667,LiCheb,ASAPPool
0.4,3,TRUE,NBPRH,5,0.8,ENZYMES,22,0.416666667,LiCheb,ASAPPool
0.4,3,TRUE,i40Ih,5,0.8,ENZYMES,33,0.366666667,LiCheb,ASAPPool
0.4,3,TRUE,o2XxK,5,0.8,ENZYMES,44,0.466666667,LiCheb,ASAPPool
0.4,3,TRUE,hTkh9,5,0.8,ENZYMES,77,0.516666667,LiCheb,ASAPPool
0.4,3,TRUE,S6K1w,5,0.8,ENZYMES,88,0.2,LiCheb,ASAPPool
0.4,3,TRUE,VVe9a,5,0.8,ENZYMES,110,0.4,LiCheb,ASAPPool
0.6,3,TRUE,od2vF,5,0.9,FRANKENSTEIN,11,0.662068966,LiCheb,ASAPPool
0.6,3,TRUE,FcWh4,5,0.9,FRANKENSTEIN,22,0.634482759,LiCheb,ASAPPool
0.6,3,TRUE,yKYck,5,0.9,FRANKENSTEIN,44,0.602298851,LiCheb,ASAPPool
0.6,3,TRUE,mGCCC,5,0.9,FRANKENSTEIN,55,0.6,LiCheb,ASAPPool
0.6,3,TRUE,fjsEm,5,0.9,FRANKENSTEIN,66,0.643678161,LiCheb,ASAPPool
0.6,3,TRUE,mmrZR,5,0.9,FRANKENSTEIN,77,0.687356322,LiCheb,ASAPPool
0.6,3,TRUE,dVKu7,5,0.9,FRANKENSTEIN,88,0.63908046,LiCheb,ASAPPool
0.6,3,TRUE,c0VEK,5,0.9,FRANKENSTEIN,99,0.616091954,LiCheb,ASAPPool
0.6,3,TRUE,VjX9s,5,0.9,FRANKENSTEIN,110,0.664367816,LiCheb,ASAPPool
0.8,3,TRUE,cpf9E,5,0.6,PROTEINS,11,0.758928571,LiCheb,ASAPPool
0.8,3,TRUE,pOuwa,5,0.6,PROTEINS,66,0.803571429,LiCheb,ASAPPool
0.8,3,TRUE,k9Pc1,5,0.6,PROTEINS,77,0.794642857,LiCheb,ASAPPool
0.9,3,TRUE,dosBO,5,0.9,NCI1,11,0.749391727,LiCheb,ASAPPool
0.9,3,TRUE,tRJcH,5,0.9,NCI1,44,0.751824818,LiCheb,ASAPPool
0.9,3,TRUE,cRnjw,5,0.9,NCI1,55,0.800486618,LiCheb,ASAPPool
0.9,3,TRUE,ZGXqv,5,0.9,NCI1,110,0.739659367,LiCheb,ASAPPool
0.8,3,TRUE,cDs3L,5,0.9,Mutagenicity,22,0.820689655,LiCheb,ASAPPool
0.8,3,TRUE,maN9x,5,0.9,Mutagenicity,55,0.822988506,LiCheb,ASAPPool
0.8,3,TRUE,mrjNC,5,0.9,Mutagenicity,110,0.783908046,LiCheb,ASAPPool
0.4,3,TRUE,MwRmK,5,0.8,ENZYMES,55,0.433333333,LiCheb,ASAPPool
0.4,3,TRUE,kXVJ8,5,0.8,ENZYMES,66,0.383333333,LiCheb,ASAPPool
0.4,3,TRUE,KK8hK,5,0.8,ENZYMES,99,0.516666667,LiCheb,ASAPPool
0.6,3,TRUE,OAZDk,5,0.9,FRANKENSTEIN,33,0.666666667,LiCheb,ASAPPool
0.8,3,TRUE,Pq5yf,5,0.9,Mutagenicity,33,0.788505747,LiCheb,ASAPPool
0.8,3,TRUE,Md9hn,5,0.9,Mutagenicity,99,0.816091954,LiCheb,ASAPPool
0.4,3,TRUE,H5gQo,5,0.9,NCI109,66,0.753623188,LiCheb,ASAPPool
0.4,3,TRUE,o1jHJ,5,0.9,NCI109,55,0.751207729,LiCheb,ASAPPool
0.4,3,TRUE,AJYUI,5,0.9,NCI109,66,0.736714976,LiCheb,ASAPPool
0.4,3,TRUE,frPWz,5,0.9,NCI109,99,0.792270531,LiCheb,ASAPPool
0.8,3,TRUE,kU8Gn,5,0.9,Mutagenicity,99,0.836781609,LiCheb,ASAPPool
0.4,3,TRUE,jihK1,5,0.9,NCI109,99,0.79468599,LiCheb,ASAPPool
0.8,3,TRUE,Vs8OK,5,0.6,PROTEINS,11,0.75,LiCheb,EdgePool
0.8,3,TRUE,EHXm7,5,0.6,PROTEINS,22,0.678571429,LiCheb,EdgePool
0.8,3,TRUE,vcdFw,5,0.6,PROTEINS,33,0.741071429,LiCheb,EdgePool
0.8,3,TRUE,oyFWD,5,0.6,PROTEINS,44,0.741071429,LiCheb,EdgePool
0.8,3,TRUE,hcQz5,5,0.6,PROTEINS,55,0.75,LiCheb,EdgePool
0.8,3,TRUE,OVdI5,5,0.6,PROTEINS,66,0.848214286,LiCheb,EdgePool
0.8,3,TRUE,j8It4,5,0.6,PROTEINS,77,0.794642857,LiCheb,EdgePool
0.8,3,TRUE,XcKf9,5,0.6,PROTEINS,88,0.794642857,LiCheb,EdgePool
0.8,3,TRUE,S0Zvu,5,0.6,PROTEINS,99,0.669642857,LiCheb,EdgePool
0.8,3,TRUE,W4MNz,5,0.6,PROTEINS,110,0.705357143,LiCheb,EdgePool
0.7,3,TRUE,iOz5Z,5,0.8,DD,11,0.655462185,LiCheb,EdgePool
0.7,3,TRUE,Ur7pC,5,0.8,DD,22,0.798319328,LiCheb,EdgePool
0.7,3,TRUE,afg84,5,0.8,DD,99,0.764705882,LiCheb,EdgePool
0.7,3,TRUE,bNzaE,5,0.8,DD,110,0.789915966,LiCheb,EdgePool
0.9,3,TRUE,wb4bs,5,0.9,NCI1,11,0.749391727,LiCheb,EdgePool
0.9,3,TRUE,I5viv,5,0.9,NCI1,33,0.746958637,LiCheb,EdgePool
0.9,3,TRUE,oWTw3,5,0.9,NCI1,44,0.725060827,LiCheb,EdgePool
0.9,3,TRUE,G4tlm,5,0.9,NCI1,55,0.788321168,LiCheb,EdgePool
