pool,pooling_nodes,seed,reward,K,dataset,id,num_layers,decoupled,conv,pooling_edges
ASAPPool,0.6,11,0.7589285714285714,3,PROTEINS,cpf9E,5,True,LiCheb,0.8
ASAPPool,0.6,66,0.8035714285714286,3,PROTEINS,pOuwa,5,True,LiCheb,0.8
ASAPPool,0.6,77,0.7946428571428571,3,PROTEINS,k9Pc1,5,True,LiCheb,0.8
EdgePool,0.8,44,0.8235294117647058,3,DD,J8b1R,5,True,LiCheb,0.7
SAGPool,0.8,55,0.7394957983193278,3,DD,ufr4i,5,True,LiCheb,0.7
EdgePool,0.8,55,0.7815126050420168,3,DD,ogI0I,5,True,LiCheb,0.7
SAGPool,0.8,66,0.8067226890756303,3,DD,gQB3G,5,True,LiCheb,0.7
EdgePool,0.8,66,0.8151260504201681,3,DD,nvOGf,5,True,LiCheb,0.7
LookHops,0.8,66,0.8319327731092437,3,DD,iDoHR,5,True,LiCheb,0.7
TopkPool,0.8,77,0.5546218487394958,3,DD,Qdb4R,5,True,LiCheb,0.7
SAGPool,0.8,77,0.7310924369747899,3,DD,cZSqt,5,True,LiCheb,0.7
EdgePool,0.8,77,0.7310924369747899,3,DD,cuCOU,5,True,LiCheb,0.7
LookHops,0.8,77,0.7647058823529411,3,DD,MOgMc,5,True,LiCheb,0.7
EdgePool,0.8,88,0.7563025210084033,3,DD,R1tGG,5,True,LiCheb,0.7
SAGPool,0.8,99,0.7058823529411765,3,DD,mjZCY,5,True,LiCheb,0.7
SAGPool,0.8,110,0.6974789915966386,3,DD,XVMbH,5,True,LiCheb,0.7
ASAPPool,0.9,11,0.7493917274939172,3,NCI1,dosBO,5,True,LiCheb,0.9
EdgePool,0.9,22,0.7688564476885644,3,NCI1,vJAX4,5,True,LiCheb,0.9
LookHops,0.9,22,0.805352798053528,3,NCI1,gNM7B,5,True,LiCheb,0.9
ASAPPool,0.9,44,0.7518248175182481,3,NCI1,tRJcH,5,True,LiCheb,0.9
SAGPool,0.9,55,0.7688564476885644,3,NCI1,Bjkqp,5,True,LiCheb,0.9
ASAPPool,0.9,55,0.8004866180048662,3,NCI1,cRnjw,5,True,LiCheb,0.9
SAGPool,0.9,77,0.7274939172749392,3,NCI1,wgy6q,5,True,LiCheb,0.9
TopkPool,0.9,88,0.7883211678832117,3,NCI1,dNOje,5,True,LiCheb,0.9
SAGPool,0.9,88,0.7566909975669099,3,NCI1,gq0b5,5,True,LiCheb,0.9
ASAPPool,0.9,110,0.7396593673965937,3,NCI1,ZGXqv,5,True,LiCheb,0.9
ASAPPool,0.9,22,0.8206896551724138,3,Mutagenicity,cDs3L,5,True,LiCheb,0.8
ASAPPool,0.9,55,0.8229885057471265,3,Mutagenicity,maN9x,5,True,LiCheb,0.8
ASAPPool,0.9,110,0.7839080459770115,3,Mutagenicity,mrjNC,5,True,LiCheb,0.8
ASAPPool,0.8,55,0.43333333333333335,3,ENZYMES,MwRmK,5,True,LiCheb,0.4
ASAPPool,0.8,66,0.38333333333333336,3,ENZYMES,kXVJ8,5,True,LiCheb,0.4
ASAPPool,0.8,99,0.5166666666666667,3,ENZYMES,KK8hK,5,True,LiCheb,0.4
ASAPPool,0.9,33,0.6666666666666666,3,FRANKENSTEIN,OAZDk,5,True,LiCheb,0.6
EdgePool,0.8,33,0.7226890756302521,3,DD,BtNhW,5,True,LiCheb,0.7
ASAPPool,0.9,33,0.7885057471264367,3,Mutagenicity,Pq5yf,5,True,LiCheb,0.8
ASAPPool,0.9,99,0.8160919540229885,3,Mutagenicity,Md9hn,5,True,LiCheb,0.8
ASAPPool,0.9,66,0.7536231884057971,3,NCI109,H5gQo,5,True,LiCheb,0.4
ASAPPool,0.9,55,0.751207729468599,3,NCI109,o1jHJ,5,True,LiCheb,0.4
ASAPPool,0.9,66,0.7367149758454107,3,NCI109,AJYUI,5,True,LiCheb,0.4
ASAPPool,0.9,99,0.7922705314009661,3,NCI109,frPWz,5,True,LiCheb,0.4
ASAPPool,0.9,99,0.8367816091954023,3,Mutagenicity,kU8Gn,5,True,LiCheb,0.8
ASAPPool,0.9,99,0.7946859903381642,3,NCI109,jihK1,5,True,LiCheb,0.4
